date,v,u,velocity,direction
2009-03-26 00,-5.17E+00,1.76E+00,5.51E+00,3.40E+02
2009-03-27 00,-3.81E+00,1.34E+00,4.12E+00,3.37E+02
2009-03-28 00,1.64E+00,1.17E+00,2.35E+00,2.30E+02
2009-03-29 00,-5.92E+00,2.58E+00,6.87E+00,3.29E+02
2009-03-30 00,-5.36E+00,1.49E+00,5.67E+00,3.37E+02
2009-03-31 00,-8.73E-01,1.52E+00,1.81E+00,3.04E+02
2009-04-01 00,-4.97E+00,2.26E+00,5.48E+00,3.36E+02
2009-04-02 00,1.22E+00,3.00E+00,3.42E+00,2.47E+02
2009-04-03 00,-4.99E+00,2.64E+00,5.80E+00,3.32E+02
2009-04-04 00,-2.46E+00,3.55E-01,2.88E+00,2.58E+02
2009-04-05 00,-2.50E-03,-1.89E+00,2.08E+00,9.41E+01
2009-04-06 00,-7.47E-01,-1.22E+00,1.66E+00,9.18E+01
2009-04-07 00,3.88E+00,1.32E+00,4.37E+00,1.97E+02
2009-04-08 00,3.24E+00,-3.23E-01,3.28E+00,1.75E+02
2009-04-09 00,2.13E+00,4.03E-01,2.47E+00,1.98E+02
2009-04-10 00,-6.32E-01,1.25E+00,1.67E+00,2.85E+02
2009-04-11 00,-3.60E-01,2.45E+00,2.52E+00,2.77E+02
2009-04-12 00,-3.36E-01,1.47E+00,1.64E+00,2.86E+02
2009-04-13 00,-1.36E-01,2.38E+00,2.59E+00,2.81E+02
2009-04-14 00,-4.23E+00,4.12E+00,6.01E+00,3.13E+02
2009-04-15 00,-2.98E+00,2.89E+00,4.31E+00,3.11E+02
2009-04-16 00,-2.21E+00,1.76E+00,2.92E+00,3.18E+02
2009-04-17 00,-9.78E-01,1.40E+00,1.91E+00,3.01E+02
2009-04-18 00,-9.47E-01,8.29E-01,1.49E+00,2.94E+02
2009-04-19 00,-9.13E-01,-7.67E-01,1.39E+00,6.52E+01
2009-04-20 00,-1.70E+00,-5.73E-01,1.87E+00,7.62E+01
2009-04-21 00,-1.77E+00,-2.40E-01,1.85E+00,1.55E+02
2009-04-22 00,1.37E+00,1.10E+00,2.55E+00,1.82E+02
2009-04-23 00,3.62E+00,8.95E-01,3.76E+00,1.94E+02
2009-04-24 00,2.88E+00,1.00E+00,3.28E+00,2.04E+02
2009-04-25 00,7.08E-01,1.84E+00,2.31E+00,2.51E+02
2009-04-26 00,-2.73E-01,1.40E+00,1.83E+00,2.80E+02
2009-04-27 00,3.44E+00,1.25E+00,3.70E+00,2.01E+02
2009-04-28 00,3.34E+00,1.11E+00,3.63E+00,1.99E+02
2009-04-29 00,1.61E+00,1.21E+00,2.04E+00,2.17E+02
2009-04-30 00,6.00E-01,3.88E-02,1.11E+00,1.87E+02
2009-05-01 00,3.70E+00,-1.11E+00,4.16E+00,1.55E+02
2009-05-02 00,4.33E+00,-2.26E+00,4.91E+00,1.53E+02
2009-05-03 00,3.86E+00,-1.36E+00,4.20E+00,1.63E+02
2009-05-04 00,3.83E+00,-1.52E+00,4.65E+00,1.43E+02
2009-05-05 00,3.34E+00,-7.98E-01,3.62E+00,1.71E+02
2009-05-06 00,1.74E+00,7.03E-01,2.24E+00,2.12E+02
2009-05-07 00,-3.37E+00,1.51E+00,3.71E+00,3.35E+02
2009-05-08 00,-4.35E+00,1.66E+00,4.68E+00,3.39E+02
2009-05-09 00,-2.74E+00,1.83E+00,3.34E+00,3.26E+02
2009-05-10 00,-1.61E+00,1.60E+00,2.98E+00,3.02E+02
2009-05-11 00,6.46E-01,2.34E+00,2.60E+00,2.56E+02
2009-05-12 00,-1.29E+00,1.86E+00,2.84E+00,2.90E+02
2009-05-13 00,-2.58E+00,2.58E+00,3.94E+00,3.12E+02
2009-05-14 00,-1.07E+00,2.23E+00,2.77E+00,2.85E+02
2009-05-15 00,-3.31E+00,1.56E+00,3.68E+00,3.35E+02
2009-05-16 00,-2.78E+00,-1.17E-01,2.86E+00,2.00E+02
2009-05-17 00,-8.21E-01,3.08E-02,1.55E+00,1.82E+02
2009-05-18 00,1.63E+00,1.37E+00,2.28E+00,2.03E+02
2009-05-19 00,2.90E+00,1.20E+00,3.22E+00,2.03E+02
2009-05-20 00,3.52E-01,6.40E-01,1.01E+00,2.55E+02
2009-05-21 00,3.94E-01,9.77E-01,1.79E+00,1.85E+02
2009-05-22 00,1.11E+00,1.46E+00,1.94E+00,2.31E+02
2009-05-23 00,2.01E+00,1.43E+00,2.49E+00,2.15E+02
2009-05-24 00,1.72E+00,1.38E+00,2.27E+00,2.19E+02
2009-05-25 00,5.92E-02,2.20E+00,2.29E+00,2.68E+02
2009-05-26 00,-2.06E+00,1.68E+00,2.68E+00,3.20E+02
2009-05-27 00,-7.13E-01,1.60E+00,2.15E+00,2.98E+02
2009-05-28 00,6.53E-01,2.06E+00,2.19E+00,2.56E+02
2009-05-29 00,2.45E+00,1.76E+00,3.05E+00,2.17E+02
