Parameter,Min,Max
NImperv,0.01,0.025
NPerv,0.05,0.5
SImperv,1.27,2.54
SPerv,2.54,5.08
PctZero,0.01,100
MaxRate,8.46,127
MinRate,0.254,10.92
Decay,2,7
DryTime,2,14
Por,0.4,0.5
WP,0.02,0.27
FC,0.06,0.38
Ksat,0.25,12.7
Roughness,0.01,0.026
Kdecay,0.002739726,0.2
BCoeff2,0.5,2
WCoeff2,0.066,0.214
