datetime,subcatchment_S65_Runoff_rate,subcatchment_S69_Runoff_rate,subcatchment_S72_Runoff_rate,subcatchment_S73_Runoff_rate,subcatchment_S80_Runoff_rate,subcatchment_S81_Runoff_rate,subcatchment_S83_Runoff_rate,subcatchment_S88_Runoff_rate,subcatchment_S90_Runoff_rate,subcatchment_S100_Runoff_rate,subcatchment_S104_Runoff_rate,subcatchment_S105_Runoff_rate,subcatchment_S106_Runoff_rate,subcatchment_S107_Runoff_rate,subcatchment_S109_Runoff_rate,subcatchment_S110_Runoff_rate,subcatchment_S111_Runoff_rate,subcatchment_S112_Runoff_rate,subcatchment_S113_Runoff_rate,runf_sum,date,year,month,day
2016-01-13,0.0,0.04902508616250846,0.1461196550851034,0.10338466356489222,0.11825726465957918,0.18753847367205356,0.195103059703773,0.1832828179892594,0.09062954449226503,0.07357688548424374,0.13836784173112582,0.22358734899879937,0.2085860806966915,0.043899228129818314,0.17949569665739432,0.1608986856990934,0.19360331531355895,0.15975025527945047,0.16681338948904825,2.6219192928086583,2016-01-13,2016,1,13
2016-01-14,0.0,0.006303861101592524,0.02395302171368121,0.01914405835362251,0.020783690477182364,0.04309076240849867,0.0340170563308063,0.034757168936218275,0.01543032805311741,0.012237599444510257,0.020443884733149766,0.03949358625531708,0.036892737084078454,0.004755335504293981,0.03451465681104343,0.027229299980756398,0.04359175468904867,0.029637369501868793,0.02978181291553245,0.47605798429431856,2016-01-14,2016,1,14
2016-01-15,0.0,0.011696182987682135,0.03477381305750743,0.023005645891335767,0.025533203600511173,0.044435193224008046,0.05362768921436235,0.04649346738971129,0.02126830727266477,0.017011726648618778,0.034055724657079296,0.061260069073382405,0.05713119945108151,0.009640685158404766,0.04305008570341691,0.03840529172533519,0.047490368003372446,0.03664620859486618,0.040022066110355546,0.645546927763696,2016-01-15,2016,1,15
2016-01-16,0.0,0.05693300054796887,0.1739192913594955,0.12232997368538165,0.1346980761242751,0.2127874107134392,0.23132486991643583,0.21498535427522802,0.10653029145747861,0.08465933105749426,0.16798693279363655,0.26417332307443797,0.24636601267567831,0.05170955188243457,0.20754708465624927,0.18747557908479404,0.22117768339658989,0.18458354480535485,0.19040402754698188,3.059591339053355,2016-01-16,2016,1,16
2016-01-17,0.0,0.1945889741251798,0.4709875136347394,0.3910645896697509,0.4106295842593109,0.6895801223907095,0.6117129070175323,0.6065029597290733,0.3497726245836408,0.2828188626949189,0.41421270644868297,0.7063188037485694,0.6594229169163749,0.178639408598645,0.5973481903277493,0.5245318539316768,0.7140578542454216,0.544034282445529,0.555767856871235,8.90199201163874,2016-01-17,2016,1,17
2016-01-18,0.05280157202347581,0.1875004743514893,0.64859965244823,0.39667697871014074,0.4675197944040626,0.6589020164646331,0.8462342141108401,0.7547635079930679,0.3464474961031496,0.2836241842045036,0.6698456872879597,0.9529220869245854,0.8874765063423877,0.17770136876436737,0.7244337791972444,0.6845190291629599,0.6938236477243986,0.6352600597653852,0.6711055970104507,10.74015765299333,2016-01-18,2016,1,18
2016-01-19,0.24384739478183187,0.3188660506136229,0.8041518719154505,0.5925913719555391,0.6432884481875597,1.0353438956830257,1.0449910709820702,0.9829658528683953,0.530189124890471,0.43176568772726315,0.7727366561189832,1.1906944889453606,1.1106463457489437,0.2773987324616887,0.9563991747383722,0.8714452246914115,1.06611538050377,0.8572783523785868,0.8885397608020942,14.619254885994442,2016-01-19,2016,1,19
2016-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-20,2016,1,20
2016-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-01-21,2016,1,21
2016-01-22,0.0,0.0715572143614802,0.22147565231517138,0.16376215460835505,0.1812721773589983,0.2867892313606566,0.28969756175244027,0.277343559030388,0.14119910823691229,0.11049621135659475,0.20572652167460795,0.3315879245157221,0.30930594749292367,0.062233702292151354,0.2710235051094898,0.24222701062426405,0.3003189676606556,0.24392621007884482,0.2517735363985657,3.9617161962282212,2016-01-22,2016,1,22
