conc_benth,date
0.0,2009-01-01
0.0,2009-01-02
0.0,2009-01-03
0.0,2009-01-04
0.0,2009-01-05
0.0,2009-01-06
0.0,2009-01-07
0.0,2009-01-08
0.0,2009-01-09
0.0,2009-01-10
0.0,2009-01-11
0.0,2009-01-12
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
1170300000.0,2009-01-21
1356600000.0,2009-01-22
1333100000.0,2009-01-23
1309900000.0,2009-01-24
1287500000.0,2009-01-25
1269900000.0,2009-01-26
1264400000.0,2009-01-27
1262600000.0,2009-01-28
1261300000.0,2009-01-29
1260200000.0,2009-01-30
1259300000.0,2009-01-31
1258300000.0,2009-02-01
1257200000.0,2009-02-02
1256200000.0,2009-02-03
1255200000.0,2009-02-04
1299200000.0,2009-02-05
3566400000.0,2009-02-06
3631300000.0,2009-02-07
3762400000.0,2009-02-08
3716000000.0,2009-02-09
3662600000.0,2009-02-10
3617900000.0,2009-02-11
3555100000.0,2009-02-12
3493400000.0,2009-02-13
3432200000.0,2009-02-14
3372300000.0,2009-02-15
3313000000.0,2009-02-16
3254800000.0,2009-02-17
3197900000.0,2009-02-18
3152800000.0,2009-02-19
3138600000.0,2009-02-20
3134000000.0,2009-02-21
3104700000.0,2009-02-22
3050000000.0,2009-02-23
3001100000.0,2009-02-24
2968200000.0,2009-02-25
2934900000.0,2009-02-26
2893100000.0,2009-02-27
2879900000.0,2009-02-28
2851900000.0,2009-03-01
2801500000.0,2009-03-02
2752100000.0,2009-03-03
2703600000.0,2009-03-04
2665100000.0,2009-03-05
2652900000.0,2009-03-06
2649100000.0,2009-03-07
2646600000.0,2009-03-08
2644100000.0,2009-03-09
2641600000.0,2009-03-10
2639100000.0,2009-03-11
2636900000.0,2009-03-12
2634700000.0,2009-03-13
2632400000.0,2009-03-14
2649300000.0,2009-03-15
2659800000.0,2009-03-16
2659100000.0,2009-03-17
2656900000.0,2009-03-18
2654300000.0,2009-03-19
2651800000.0,2009-03-20
3317600000.0,2009-03-21
4322000000.0,2009-03-22
4266200000.0,2009-03-23
4246000000.0,2009-03-24
4238600000.0000005,2009-03-25
4233600000.0000005,2009-03-26
4228399999.9999995,2009-03-27
4223700000.0,2009-03-28
4218899999.9999995,2009-03-29
4213100000.0000005,2009-03-30
4207800000.0,2009-03-31
4203300000.0,2009-04-01
4198300000.0,2009-04-02
4193399999.9999995,2009-04-03
4188300000.0,2009-04-04
4183800000.0,2009-04-05
4179800000.0,2009-04-06
5451600000.0,2009-04-07
5358700000.0,2009-04-08
5264000000.0,2009-04-09
5171100000.0,2009-04-10
5096700000.0,2009-04-11
5072600000.0,2009-04-12
5064300000.0,2009-04-13
5058000000.0,2009-04-14
5051200000.0,2009-04-15
5045000000.0,2009-04-16
5039400000.0,2009-04-17
5034400000.0,2009-04-18
5029600000.0,2009-04-19
5024800000.0,2009-04-20
5019800000.0,2009-04-21
5014500000.0,2009-04-22
5008900000.0,2009-04-23
5002700000.0,2009-04-24
4996600000.0,2009-04-25
4991000000.0,2009-04-26
4985500000.0,2009-04-27
4979500000.0,2009-04-28
4973400000.0,2009-04-29
4967900000.0,2009-04-30
6657000000.0,2009-05-01
6540000000.0,2009-05-02
6424000000.0,2009-05-03
6312400000.0,2009-05-04
6202800000.0,2009-05-05
6112800000.0,2009-05-06
6083000000.0,2009-05-07
6071200000.0,2009-05-08
6062300000.0,2009-05-09
6054100000.0,2009-05-10
6046500000.0,2009-05-11
6038800000.0,2009-05-12
6031100000.0,2009-05-13
6022900000.0,2009-05-14
6014700000.0,2009-05-15
6006100000.0,2009-05-16
5997900000.0,2009-05-17
5990300000.0,2009-05-18
5982100000.0,2009-05-19
5973800000.0,2009-05-20
5966300000.0,2009-05-21
5958900000.0,2009-05-22
5951000000.0,2009-05-23
5942600000.0,2009-05-24
5934200000.0,2009-05-25
5925500000.0,2009-05-26
5916700000.0,2009-05-27
5907900000.0,2009-05-28
5898700000.0,2009-05-29
5888900000.0,2009-05-30
5879000000.0,2009-05-31
5868900000.0,2009-06-01
5858800000.0,2009-06-02
7097600000.0,2009-06-03
7875700000.0,2009-06-04
7762700000.0,2009-06-05
7721100000.0,2009-06-06
7703600000.0,2009-06-07
7689800000.0,2009-06-08
7676200000.0,2009-06-09
7662100000.0,2009-06-10
7648300000.0,2009-06-11
7634800000.0,2009-06-12
7621100000.0,2009-06-13
7607500000.0,2009-06-14
7594300000.0,2009-06-15
7581700000.0,2009-06-16
7569200000.0,2009-06-17
7556600000.0,2009-06-18
7543500000.0,2009-06-19
7529800000.0,2009-06-20
7516000000.0,2009-06-21
7502800000.0,2009-06-22
7489000000.0,2009-06-23
7475800000.0,2009-06-24
7462500000.0,2009-06-25
7449300000.0,2009-06-26
7436400000.0,2009-06-27
7422700000.0,2009-06-28
7408900000.0,2009-06-29
7395500000.0,2009-06-30
7381600000.0,2009-07-01
7367300000.0,2009-07-02
7352700000.0,2009-07-03
7338000000.0,2009-07-04
7323000000.0,2009-07-05
7307600000.0,2009-07-06
7292400000.0,2009-07-07
7277100000.0,2009-07-08
7261900000.0,2009-07-09
7246800000.0,2009-07-10
7231500000.0,2009-07-11
7216100000.0,2009-07-12
7200200000.0,2009-07-13
7183200000.0,2009-07-14
7166800000.0,2009-07-15
7151300000.0,2009-07-16
7136100000.0,2009-07-17
7120900000.0,2009-07-18
7105200000.0,2009-07-19
7088700000.0,2009-07-20
7071300000.0,2009-07-21
7054100000.0,2009-07-22
7037500000.0,2009-07-23
7021000000.0,2009-07-24
7004300000.0,2009-07-25
6988200000.0,2009-07-26
6972100000.0,2009-07-27
6955500000.0,2009-07-28
6938300000.0,2009-07-29
6921100000.0,2009-07-30
6904000000.0,2009-07-31
6887100000.0,2009-08-01
6870200000.0,2009-08-02
6853200000.0,2009-08-03
6836500000.0,2009-08-04
6819700000.0,2009-08-05
6802600000.0,2009-08-06
6786200000.0,2009-08-07
6770500000.0,2009-08-08
6754500000.0,2009-08-09
6739000000.0,2009-08-10
6723000000.0,2009-08-11
6706100000.0,2009-08-12
6689300000.0,2009-08-13
6672400000.0,2009-08-14
6656000000.0,2009-08-15
6640300000.0,2009-08-16
6625000000.0,2009-08-17
6610100000.0,2009-08-18
6595600000.0,2009-08-19
6580400000.0,2009-08-20
6565200000.0,2009-08-21
6550400000.0,2009-08-22
6534900000.0,2009-08-23
6519300000.0,2009-08-24
6504500000.0,2009-08-25
6490200000.0,2009-08-26
6476500000.0,2009-08-27
6462900000.0,2009-08-28
6448700000.0,2009-08-29
6433900000.0,2009-08-30
6418500000.0,2009-08-31
6403700000.0,2009-09-01
6389800000.0,2009-09-02
6375900000.0,2009-09-03
6361100000.0,2009-09-04
6345700000.0,2009-09-05
6330400000.0,2009-09-06
6315500000.0,2009-09-07
6301400000.0,2009-09-08
6287800000.0,2009-09-09
6274400000.0,2009-09-10
6261400000.0,2009-09-11
6247900000.0,2009-09-12
6233300000.0,2009-09-13
17608000000.0,2009-09-14
17739000000.0,2009-09-15
17640000000.0,2009-09-16
17593000000.0,2009-09-17
17555000000.0,2009-09-18
17518000000.0,2009-09-19
17480000000.0,2009-09-20
17443000000.0,2009-09-21
17407000000.0,2009-09-22
17370000000.0,2009-09-23
17334000000.0,2009-09-24
17298000000.0,2009-09-25
17262000000.0,2009-09-26
17226000000.0,2009-09-27
17188000000.0,2009-09-28
17148000000.0,2009-09-29
17108000000.0,2009-09-30
17068000000.0,2009-10-01
17032000000.0,2009-10-02
16997000000.0,2009-10-03
16962000000.0,2009-10-04
16927000000.0,2009-10-05
16894000000.0,2009-10-06
16861000000.0,2009-10-07
16831000000.0,2009-10-08
16802000000.0,2009-10-09
16772000000.0,2009-10-10
16742000000.0,2009-10-11
16712000000.0,2009-10-12
18108000000.0,2009-10-13
17777000000.0,2009-10-14
17511000000.0,2009-10-15
17419000000.0,2009-10-16
17380000000.0,2009-10-17
17351000000.0,2009-10-18
17191000000.0,2009-10-19
16945000000.0,2009-10-20
16859000000.0,2009-10-21
16824000000.0,2009-10-22
16796000000.0,2009-10-23
16770000000.0,2009-10-24
16743000000.0,2009-10-25
16716000000.0,2009-10-26
16687000000.0,2009-10-27
16649000000.0,2009-10-28
16616000000.0,2009-10-29
16590000000.0,2009-10-30
16568000000.0,2009-10-31
16548000000.0,2009-11-01
16528000000.0,2009-11-02
16508000000.0,2009-11-03
16488000000.0,2009-11-04
16466000000.0,2009-11-05
16444000000.0,2009-11-06
16424000000.0,2009-11-07
16402000000.0,2009-11-08
16381000000.0,2009-11-09
16363000000.0,2009-11-10
16345000000.0,2009-11-11
17222000000.0,2009-11-12
17522000000.0,2009-11-13
17513000000.0,2009-11-14
17493000000.0,2009-11-15
17474000000.0,2009-11-16
19246000000.0,2009-11-17
19124000000.0,2009-11-18
18849000000.0,2009-11-19
18619000000.0,2009-11-20
18346000000.0,2009-11-21
18240000000.0,2009-11-22
18203000000.0,2009-11-23
18179000000.0,2009-11-24
18161000000.0,2009-11-25
18145000000.0,2009-11-26
18357000000.0,2009-11-27
18243000000.0,2009-11-28
18171000000.0,2009-11-29
18140000000.0,2009-11-30
18123000000.0,2009-12-01
18108000000.0,2009-12-02
18092000000.0,2009-12-03
18077000000.0,2009-12-04
18062000000.0,2009-12-05
18046000000.0,2009-12-06
19125000000.0,2009-12-07
18853000000.0,2009-12-08
18765000000.0,2009-12-09
18737000000.0,2009-12-10
18563000000.0,2009-12-11
18237000000.0,2009-12-12
17917000000.0,2009-12-13
17613000000.0,2009-12-14
17379000000.0,2009-12-15
17304000000.0,2009-12-16
17279000000.0,2009-12-17
17263000000.0,2009-12-18
17249000000.0,2009-12-19
17235000000.0,2009-12-20
17235000000.0,2009-12-21
17142000000.0,2009-12-22
16902000000.0,2009-12-23
16826000000.0,2009-12-24
16802000000.0,2009-12-25
16787000000.0,2009-12-26
16738000000.0,2009-12-27
16501000000.0,2009-12-28
16314000000.0,2009-12-29
16036000000.0,2009-12-30
15813000000.0,2009-12-31
15640000000.0,2010-01-01
15432000000.0,2010-01-02
15365000000.0,2010-01-03
15345000000.0,2010-01-04
15332000000.0,2010-01-05
15320000000.0,2010-01-06
15308000000.0,2010-01-07
15923000000.0,2010-01-08
15977000000.0,2010-01-09
15937000000.0,2010-01-10
15919000000.0,2010-01-11
15946000000.0,2010-01-12
15667000000.0,2010-01-13
15442000000.0,2010-01-14
15371000000.0,2010-01-15
15347000000.0,2010-01-16
15203000000.0,2010-01-17
14935000000.0,2010-01-18
14672000000.0,2010-01-19
14414000000.0,2010-01-20
14160000000.0,2010-01-21
13911000000.0,2010-01-22
13667000000.0,2010-01-23
13430000000.0,2010-01-24
13196000000.0,2010-01-25
12964000000.0,2010-01-26
12779000000.0,2010-01-27
12720000000.0,2010-01-28
12608000000.0,2010-01-29
12393000000.0,2010-01-30
12218000000.0,2010-01-31
12163000000.0,2010-02-01
12146000000.0,2010-02-02
12135000000.0,2010-02-03
12024000000.0,2010-02-04
11812000000.0,2010-02-05
11604000000.0,2010-02-06
11408000000.0,2010-02-07
11220000000.0,2010-02-08
11027000000.0,2010-02-09
10869000000.0,2010-02-10
10820000000.0,2010-02-11
10803000000.0,2010-02-12
10792000000.0,2010-02-13
10783000000.0,2010-02-14
10773000000.0,2010-02-15
10764000000.0,2010-02-16
10754000000.0,2010-02-17
10746000000.0,2010-02-18
10737000000.0,2010-02-19
10755000000.0,2010-02-20
10762000000.0,2010-02-21
10754000000.0,2010-02-22
11358000000.0,2010-02-23
11159000000.0,2010-02-24
11000000000.0,2010-02-25
10866000000.0,2010-02-26
10675000000.0,2010-02-27
10521000000.0,2010-02-28
10472000000.0,2010-03-01
10370000000.0,2010-03-02
10187000000.0,2010-03-03
10011000000.0,2010-03-04
9873600000.0,2010-03-05
9829700000.0,2010-03-06
9814900000.0,2010-03-07
9804300000.0,2010-03-08
9793500000.0,2010-03-09
9768600000.0,2010-03-10
9629700000.0,2010-03-11
9514100000.0,2010-03-12
9361100000.0,2010-03-13
9257400000.0,2010-03-14
9223100000.0,2010-03-15
9210600000.0,2010-03-16
9201700000.0,2010-03-17
9192200000.0,2010-03-18
9181900000.0,2010-03-19
9172900000.0,2010-03-20
9164400000.0,2010-03-21
9155800000.0,2010-03-22
9146400000.0,2010-03-23
9136800000.0,2010-03-24
9829600000.0,2010-03-25
9825300000.0,2010-03-26
9788100000.0,2010-03-27
9774500000.0,2010-03-28
9763300000.0,2010-03-29
10171000000.0,2010-03-30
10122000000.0,2010-03-31
9978000000.0,2010-04-01
9899700000.0,2010-04-02
9807500000.0,2010-04-03
9703900000.0,2010-04-04
9533100000.0,2010-04-05
9397100000.0,2010-04-06
9353300000.0,2010-04-07
9339000000.0,2010-04-08
9329000000.0,2010-04-09
9318600000.0,2010-04-10
9928200000.0,2010-04-11
9753300000.0,2010-04-12
9580700000.0,2010-04-13
9442700000.0,2010-04-14
9398900000.0,2010-04-15
9384400000.0,2010-04-16
9374200000.0,2010-04-17
9365500000.0,2010-04-18
9357300000.0,2010-04-19
9640600000.0,2010-04-20
9470500000.0,2010-04-21
9334700000.0,2010-04-22
9291100000.0,2010-04-23
9276200000.0,2010-04-24
9265900000.0,2010-04-25
9255400000.0,2010-04-26
9168500000.0,2010-04-27
9008600000.0,2010-04-28
8864700000.0,2010-04-29
8761800000.0,2010-04-30
8725900000.0,2010-05-01
8710200000.0,2010-05-02
8697200000.0,2010-05-03
8686600000.0,2010-05-04
8675900000.0,2010-05-05
8664600000.0,2010-05-06
8653400000.0,2010-05-07
8643700000.0,2010-05-08
8633300000.0,2010-05-09
9405000000.0,2010-05-10
9270900000.0,2010-05-11
9224200000.0,2010-05-12
9206700000.0,2010-05-13
9195400000.0,2010-05-14
9185700000.0,2010-05-15
9176400000.0,2010-05-16
9165500000.0,2010-05-17
9154100000.0,2010-05-18
9143600000.0,2010-05-19
9132900000.0,2010-05-20
9121100000.0,2010-05-21
9108400000.0,2010-05-22
9096300000.0,2010-05-23
9084100000.0,2010-05-24
9421600000.0,2010-05-25
9263400000.0,2010-05-26
9105700000.0,2010-05-27
8967200000.0,2010-05-28
8896800000.0,2010-05-29
8870800000.0,2010-05-30
8857800000.0,2010-05-31
8846000000.0,2010-06-01
8834700000.0,2010-06-02
8823700000.0,2010-06-03
8812700000.0,2010-06-04
8801700000.0,2010-06-05
8790800000.0,2010-06-06
8779000000.0,2010-06-07
8767100000.0,2010-06-08
8754500000.0,2010-06-09
8741300000.0,2010-06-10
8726300000.0,2010-06-11
8707800000.0,2010-06-12
8691900000.0,2010-06-13
8678400000.0,2010-06-14
