conc_h20,date
0.0,2009-01-01
0.0,2009-01-02
0.0,2009-01-03
0.0,2009-01-04
0.0,2009-01-05
0.0,2009-01-06
0.0,2009-01-07
0.0,2009-01-08
0.0,2009-01-09
0.0,2009-01-10
0.0,2009-01-11
0.0,2009-01-12
0.0,2009-01-13
0.0,2009-01-14
0.0,2009-01-15
0.0,2009-01-16
0.0,2009-01-17
0.0,2009-01-18
0.0,2009-01-19
0.0,2009-01-20
66707000000.0,2009-01-21
6802200000.0,2009-01-22
7119100.0,2009-01-23
20579000.0,2009-01-24
90676000.0,2009-01-25
643900000.0,2009-01-26
1049200000.0,2009-01-27
1111800000.0,2009-01-28
1120000000.0,2009-01-29
1131600000.0,2009-01-30
1132700000.0,2009-01-31
1127100000.0,2009-02-01
1128200000.0,2009-02-02
1128300000.0,2009-02-03
1127200000.0,2009-02-04
1119100000.0,2009-02-05
115100000000.0,2009-02-06
1802500000.0,2009-02-07
9642500000.0,2009-02-08
948460000.0,2009-02-09
1541200000.0,2009-02-10
55248000.00000001,2009-02-11
175550000.0,2009-02-12
8007999.999999999,2009-02-13
78088000.00000001,2009-02-14
24401999.999999996,2009-02-15
11140000.0,2009-02-16
20249000.000000004,2009-02-17
90092000.00000001,2009-02-18
1431500000.0,2009-02-19
2418900000.0,2009-02-20
2580600000.0,2009-02-21
8962400.0,2009-02-22
5924100.0,2009-02-23
793070000.0,2009-02-24
1785300000.0,2009-02-25
68882000.0,2009-02-26
1305400000.0,2009-02-27
2225200000.0,2009-02-28
12508000.0,2009-03-01
9112900.0,2009-03-02
5157800.0,2009-03-03
37975000.0,2009-03-04
1199200000.0,2009-03-05
2057000000.0,2009-03-06
2197400000.0,2009-03-07
2211200000.0,2009-03-08
2205500000.0,2009-03-09
2203100000.0,2009-03-10
2212500000.0,2009-03-11
2211800000.0,2009-03-12
2215600000.0,2009-03-13
2196100000.0,2009-03-14
2175000000.0,2009-03-15
2171100000.0,2009-03-16
2187300000.0,2009-03-17
2185000000.0,2009-03-18
2186300000.0,2009-03-19
2190400000.0,2009-03-20
40507000000.0,2009-03-21
51178000000.0,2009-03-22
1934900000.0,2009-03-23
3270500000.0,2009-03-24
3506000000.0,2009-03-25
3522700000.0,2009-03-26
3521500000.0,2009-03-27
3547100000.0,2009-03-28
3494600000.0,2009-03-29
3472200000.0,2009-03-30
3521100000.0,2009-03-31
3509800000.0,2009-04-01
3505200000.0,2009-04-02
3485300000.0,2009-04-03
3499100000.0,2009-04-04
3525500000.0,2009-04-05
3537500000.0,2009-04-06
69002000000.0,2009-04-07
51181999.99999999,2009-04-08
36096000.0,2009-04-09
46306000.00000001,2009-04-10
2317800000.0,2009-04-11
3987000000.0,2009-04-12
4260200000.0,2009-04-13
4239000000.0,2009-04-14
4234200000.0,2009-04-15
4263600000.0000005,2009-04-16
4289800000.0,2009-04-17
4308500000.0,2009-04-18
4314300000.0,2009-04-19
4301700000.0,2009-04-20
4289800000.0,2009-04-21
4283600000.0000005,2009-04-22
4247600000.0000005,2009-04-23
4230100000.0000005,2009-04-24
4245000000.0,2009-04-25
4261500000.0,2009-04-26
4232899999.9999995,2009-04-27
4207500000.0,2009-04-28
4221300000.0,2009-04-29
4258000000.0,2009-04-30
91104000000.0,2009-05-01
74499000.0,2009-05-02
45971000.0,2009-05-03
517799999.99999994,2009-05-04
36789000.0,2009-05-05
2797800000.0,2009-05-06
4788500000.0,2009-05-07
5088300000.0,2009-05-08
5143700000.0,2009-05-09
5175000000.0,2009-05-10
5180300000.0,2009-05-11
5176600000.0,2009-05-12
5148900000.0,2009-05-13
5144300000.0,2009-05-14
5128600000.0,2009-05-15
5124000000.0,2009-05-16
5169200000.0,2009-05-17
5161100000.0,2009-05-18
5116000000.0,2009-05-19
5146600000.0,2009-05-20
5166400000.0,2009-05-21
5139900000.0,2009-05-22
5105600000.0,2009-05-23
5091500000.0,2009-05-24
5086400000.0,2009-05-25
5070900000.0,2009-05-26
5075900000.0,2009-05-27
5069900000.0,2009-05-28
5038400000.0,2009-05-29
5024600000.0,2009-05-30
5011300000.0,2009-05-31
4993200000.0,2009-06-01
5019800000.0,2009-06-02
66339000000.0,2009-06-03
45761000000.0,2009-06-04
3561100000.0,2009-06-05
6077000000.0,2009-06-06
6501000000.0,2009-06-07
6539200000.0,2009-06-08
6503800000.0,2009-06-09
6488200000.0,2009-06-10
6494500000.0,2009-06-11
6489100000.0,2009-06-12
6466000000.0,2009-06-13
6467900000.0,2009-06-14
6482100000.0,2009-06-15
6480200000.0,2009-06-16
6469000000.0,2009-06-17
6445800000.0,2009-06-18
6410500000.0,2009-06-19
6371500000.0,2009-06-20
6392700000.0,2009-06-21
6365600000.0,2009-06-22
6373900000.0,2009-06-23
6383100000.0,2009-06-24
6356000000.0,2009-06-25
6376000000.0,2009-06-26
6345500000.0,2009-06-27
6312700000.0,2009-06-28
6331200000.0,2009-06-29
6321100000.0,2009-06-30
6292800000.0,2009-07-01
6271000000.0,2009-07-02
6254800000.0,2009-07-03
6242200000.0,2009-07-04
6207900000.0,2009-07-05
6205800000.0,2009-07-06
6191100000.0,2009-07-07
6182100000.0,2009-07-08
6183800000.0,2009-07-09
6171400000.0,2009-07-10
6155500000.0,2009-07-11
6139600000.0,2009-07-12
6074500000.0,2009-07-13
6058400000.0,2009-07-14
6107300000.0,2009-07-15
6129600000.0,2009-07-16
6132200000.0,2009-07-17
6114100000.0,2009-07-18
6075800000.0,2009-07-19
6012200000.0,2009-07-20
5992200000.0,2009-07-21
6007900000.0,2009-07-22
6016900000.0,2009-07-23
5981500000.0,2009-07-24
5982900000.0,2009-07-25
5992500000.0,2009-07-26
5961400000.0,2009-07-27
5903100000.0,2009-07-28
5869800000.0,2009-07-29
5852700000.0,2009-07-30
5844800000.0,2009-07-31
5832900000.0,2009-08-01
5803900000.0,2009-08-02
5795800000.0,2009-08-03
5794200000.0,2009-08-04
5752700000.0,2009-08-05
5740200000.0,2009-08-06
5781300000.0,2009-08-07
5757000000.0,2009-08-08
5762900000.0,2009-08-09
5766000000.0,2009-08-10
5694400000.0,2009-08-11
5673200000.0,2009-08-12
5646800000.0,2009-08-13
5632000000.0,2009-08-14
5647200000.0,2009-08-15
5656900000.0,2009-08-16
5643800000.0,2009-08-17
5659100000.0,2009-08-18
5625900000.0,2009-08-19
5573800000.0,2009-08-20
5592000000.0,2009-08-21
5567200000.0,2009-08-22
5515600000.0,2009-08-23
5520800000.0,2009-08-24
5535400000.0,2009-08-25
5542800000.0,2009-08-26
5550300000.0,2009-08-27
5513300000.0,2009-08-28
5484200000.0,2009-08-29
5420400000.0,2009-08-30
5406300000.0,2009-08-31
5447500000.0,2009-09-01
5460200000.0,2009-09-02
5428100000.0,2009-09-03
5370000000.0,2009-09-04
5341600000.0,2009-09-05
5339100000.0,2009-09-06
5359300000.0,2009-09-07
5373300000.0,2009-09-08
5364800000.0,2009-09-09
5380200000.0,2009-09-10
5365400000.0,2009-09-11
5302800000.0,2009-09-12
5243500000.0,2009-09-13
629950000000.0,2009-09-14
9025800000.0,2009-09-15
14345000000.0,2009-09-16
15244000000.0,2009-09-17
15428000000.0,2009-09-18
15287000000.0,2009-09-19
15265000000.0,2009-09-20
15284000000.0,2009-09-21
15263000000.0,2009-09-22
15255000000.0,2009-09-23
15206000000.0,2009-09-24
15239000000.0,2009-09-25
15182000000.0,2009-09-26
15120000000.0,2009-09-27
14933000000.0,2009-09-28
14787000000.0,2009-09-29
14723000000.0,2009-09-30
14779000000.0,2009-10-01
14892000000.0,2009-10-02
14794000000.0,2009-10-03
14730000000.0,2009-10-04
14721000000.0,2009-10-05
14727000000.0,2009-10-06
14796000000.0,2009-10-07
14816000000.0,2009-10-08
14764000000.0,2009-10-09
14708000000.0,2009-10-10
14629000000.0,2009-10-11
14496000000.0,2009-10-12
85712000000.0,2009-10-13
142240000.0,2009-10-14
8278500000.0,2009-10-15
14171000000.0,2009-10-16
15145000000.0,2009-10-17
15180000000.0,2009-10-18
2003300000.0,2009-10-19
8502100000.0,2009-10-20
13794000000.0,2009-10-21
14635000000.0,2009-10-22
14727000000.0,2009-10-23
14694000000.0,2009-10-24
14571000000.0,2009-10-25
14647000000.0,2009-10-26
14072000000.0,2009-10-27
13902000000.0,2009-10-28
14269000000.0,2009-10-29
14554000000.0,2009-10-30
14685000000.0,2009-10-31
14664000000.0,2009-11-01
14661000000.0,2009-11-02
14676000000.0,2009-11-03
14605000000.0,2009-11-04
14476000000.0,2009-11-05
14584000000.0,2009-11-06
14511000000.0,2009-11-07
14414000000.0,2009-11-08
14561000000.0,2009-11-09
14602000000.0,2009-11-10
14516000000.0,2009-11-11
64984000000.0,2009-11-12
19180000000.0,2009-11-13
15843000000.0,2009-11-14
15418000000.0,2009-11-15
15357000000.0,2009-11-16
116720000000.0,2009-11-17
7052500000.0,2009-11-18
8983600000.0,2009-11-19
256110000.0,2009-11-20
8021800000.0,2009-11-21
14250000000.0,2009-11-22
15681000000.0,2009-11-23
16001000000.0,2009-11-24
16213000000.0,2009-11-25
16125000000.0,2009-11-26
27651000000.0,2009-11-27
12764000000.0,2009-11-28
15115000000.0,2009-11-29
15977000000.0,2009-11-30
16224000000.0,2009-12-01
16198000000.0,2009-12-02
16137000000.0,2009-12-03
16171000000.0,2009-12-04
16114000000.0,2009-12-05
15935000000.0,2009-12-06
68179000000.0,2009-12-07
8824900000.0,2009-12-08
15305000000.0,2009-12-09
16492000000.0,2009-12-10
60826000.0,2009-12-11
43336000.00000001,2009-12-12
60193999.99999999,2009-12-13
2101500000.0,2009-12-14
9229100000.0,2009-12-15
14319000000.0,2009-12-16
15230000000.0,2009-12-17
15382000000.0,2009-12-18
15433000000.0,2009-12-19
15369000000.0,2009-12-20
15587000000.0,2009-12-21
4329800000.0,2009-12-22
8200299999.999999,2009-12-23
13852000000.0,2009-12-24
14855000000.0,2009-12-25
14960000000.0,2009-12-26
7026200000.0,2009-12-27
7883200000.0,2009-12-28
1578600000.0,2009-12-29
769560000.0,2009-12-30
7821500000.0,2009-12-31
2460200000.0,2010-01-01
8110000000.0,2010-01-02
12828000000.0,2010-01-03
13682000000.0,2010-01-04
13783000000.0,2010-01-05
13768000000.0,2010-01-06
13754000000.0,2010-01-07
48494000000.0,2010-01-08
13371000000.0,2010-01-09
14177000000.0,2010-01-10
14197000000.0,2010-01-11
9883600000.0,2010-01-12
48076000.0,2010-01-13
7317300000.0,2010-01-14
12630000000.0,2010-01-15
13499000000.0,2010-01-16
82612000.00000001,2010-01-17
40610000.0,2010-01-18
28489000.0,2010-01-19
27601000.0,2010-01-20
50545000.0,2010-01-21
88262999.99999999,2010-01-22
299120000.0,2010-01-23
473740000.0,2010-01-24
51555000.0,2010-01-25
162210000.0,2010-01-26
6099700000.0,2010-01-27
10513000000.0,2010-01-28
1706100000.0,2010-01-29
414690000.0,2010-01-30
5991200000.0,2010-01-31
10101000000.0,2010-02-01
10825000000.0,2010-02-02
10955000000.0,2010-02-03
130389999.99999999,2010-02-04
62254000.0,2010-02-05
85069000.0,2010-02-06
1604400000.0,2010-02-07
884680000.0,2010-02-08
131310000.0,2010-02-09
5243400000.0,2010-02-10
8965400000.0,2010-02-11
9576100000.0,2010-02-12
9698700000.0,2010-02-13
9712900000.0,2010-02-14
9677700000.0,2010-02-15
9668600000.0,2010-02-16
9727300000.0,2010-02-17
9719800000.0,2010-02-18
9688000000.0,2010-02-19
9624200000.0,2010-02-20
9584400000.0,2010-02-21
9585400000.0,2010-02-22
52169000000.0,2010-02-23
107080000.0,2010-02-24
5387100000.0,2010-02-25
51685000.0,2010-02-26
52232000.0,2010-02-27
5125900000.0,2010-02-28
8801000000.0,2010-03-01
115810000.0,2010-03-02
31293000.000000004,2010-03-03
856470000.0,2010-03-04
5222900000.0,2010-03-05
8388799999.999999,2010-03-06
8910700000.0,2010-03-07
8912500000.0,2010-03-08
8919300000.0,2010-03-09
3401800000.0,2010-03-10
4759100000.0,2010-03-11
93874000.0,2010-03-12
2724800000.0,2010-03-13
6128500000.0,2010-03-14
8087700000.0,2010-03-15
8438700000.000001,2010-03-16
8457200000.000001,2010-03-17
8360400000.0,2010-03-18
8391000000.0,2010-03-19
8440299999.999999,2010-03-20
8439400000.0,2010-03-21
8401700000.000001,2010-03-22
8366799999.999999,2010-03-23
8348799999.999999,2010-03-24
50049000000.0,2010-03-25
6789300000.0,2010-03-26
8689900000.0,2010-03-27
8950000000.0,2010-03-28
8906600000.0,2010-03-29
26050000000.0,2010-03-30
4217399999.9999995,2010-03-31
4920500000.0,2010-04-01
5671400000.0,2010-04-02
7085500000.0,2010-04-03
343360000.0,2010-04-04
185880000.0,2010-04-05
4645300000.0,2010-04-06
7947600000.0,2010-04-07
8505700000.000001,2010-04-08
8532900000.0,2010-04-09
8485100000.0,2010-04-10
43943000000.0,2010-04-11
56364000.0,2010-04-12
59233000.00000001,2010-04-13
4683000000.0,2010-04-14
8100000000.0,2010-04-15
8623000000.0,2010-04-16
8712800000.0,2010-04-17
8782200000.0,2010-04-18
8721200000.0,2010-04-19
20941000000.0,2010-04-20
131370000.0,2010-04-21
4657000000.0,2010-04-22
7971400000.0,2010-04-23
8532400000.0,2010-04-24
8573299999.999999,2010-04-25
8553500000.0,2010-04-26
124490000.0,2010-04-27
555610000.0,2010-04-28
2590400000.0,2010-04-29
5737700000.0,2010-04-30
7643200000.0,2010-05-01
7877800000.0,2010-05-02
8003700000.0,2010-05-03
8051800000.0,2010-05-04
8010100000.0,2010-05-05
7966600000.0,2010-05-06
8041400000.0,2010-05-07
8045300000.0,2010-05-08
7987300000.0,2010-05-09
44017000000.0,2010-05-10
4506800000.0,2010-05-11
7749500000.0,2010-05-12
8382600000.0,2010-05-13
8532799999.999999,2010-05-14
8591100000.0,2010-05-15
8531900000.0,2010-05-16
8442600000.0,2010-05-17
8473000000.0,2010-05-18
8478700000.000001,2010-05-19
8440100000.0,2010-05-20
8352900000.0,2010-05-21
8351000000.0,2010-05-22
8341799999.999999,2010-05-23
8348200000.000001,2010-05-24
22901000000.0,2010-05-25
1297100000.0,2010-05-26
145620000.0,2010-05-27
3880000000.0,2010-05-28
6994000000.0,2010-05-29
8027000000.0,2010-05-30
8173200000.0,2010-05-31
8170100000.0,2010-06-01
8185600000.0,2010-06-02
8186800000.0,2010-06-03
8178200000.0,2010-06-04
8194500000.0,2010-06-05
8154300000.0,2010-06-06
8131900000.0,2010-06-07
8104700000.0,2010-06-08
8054300000.0,2010-06-09
8028600000.0,2010-06-10
7770000000.0,2010-06-11
7768800000.0,2010-06-12
7932500000.0,2010-06-13
7999300000.0,2010-06-14
7986700000.0,2010-06-15
7927300000.0,2010-06-16
