Date,Max Temperature,Min Temperature,Average Temperature
2009-09-02 00,314.060,294.170,303.260
2009-09-03 00,313.790,292.640,302.447
2009-09-04 00,309.770,290.550,299.087
2009-09-05 00,305.070,285.810,295.060
2009-09-06 00,303.850,288.620,295.649
2009-09-07 00,307.090,286.690,296.217
2009-09-08 00,308.790,287.360,297.270
2009-09-09 00,310.590,288.410,298.812
2009-09-10 00,313.780,291.760,302.199
2009-09-11 00,315.650,294.130,303.717
2009-09-12 00,310.920,294.560,301.308
2009-09-13 00,302.490,289.190,295.695
2009-09-14 00,299.660,291.440,294.597
2009-09-15 00,305.550,287.800,295.974
2009-09-16 00,308.500,288.810,297.918
2009-09-17 00,309.890,290.240,299.919
2009-09-18 00,313.200,293.920,302.455
2009-09-19 00,308.780,291.130,299.032
2009-09-20 00,310.700,290.020,299.388
2009-09-21 00,312.630,289.990,300.675
2009-09-22 00,314.870,291.370,302.178
2009-09-23 00,314.150,290.260,301.402
2009-09-24 00,311.900,290.190,299.562
2009-09-25 00,311.070,288.570,299.191
2009-09-26 00,316.160,291.370,303.060
2009-09-27 00,315.670,293.380,303.503
2009-09-28 00,307.750,290.110,297.927
2009-09-29 00,299.740,284.880,292.985
2009-09-30 00,299.010,280.450,289.353
2009-10-01 00,303.260,283.000,292.829
2009-10-02 00,304.710,285.430,294.581
2009-10-03 00,300.530,283.150,290.940
2009-10-04 00,293.760,278.010,286.025
2009-10-05 00,295.570,278.810,286.590
2009-10-06 00,300.210,279.300,289.139
2009-10-07 00,302.660,281.710,291.513
2009-10-08 00,301.420,283.040,291.483
2009-10-09 00,302.440,283.240,292.519
2009-10-10 00,302.750,282.380,292.096
2009-10-11 00,299.770,283.120,290.357
2009-10-12 00,296.510,282.280,289.803
2009-10-13 00,290.750,286.460,288.235
2009-10-14 00,295.370,285.750,290.630
2009-10-15 00,295.500,290.340,292.594
2009-10-16 00,302.050,288.380,294.678
2009-10-17 00,303.650,289.400,296.245
2009-10-18 00,300.120,287.880,293.877
2009-10-19 00,291.910,284.090,287.752
2009-10-20 00,295.750,282.550,288.724
2009-10-21 00,297.010,283.980,290.540
2009-10-22 00,298.440,285.170,291.483
2009-10-23 00,300.310,285.340,292.486
2009-10-24 00,300.890,287.260,293.140
2009-10-25 00,300.050,285.520,291.657
2009-10-26 00,299.850,285.120,291.466
2009-10-27 00,292.190,280.070,286.173
2009-10-28 00,290.430,275.900,282.550
2009-10-29 00,294.110,276.930,285.260
2009-10-30 00,295.990,279.510,287.815
2009-10-31 00,296.490,282.010,289.355
2009-11-01 00,298.170,283.240,290.698
2009-11-02 00,300.140,283.600,292.053
2009-11-03 00,300.390,284.540,292.360
2009-11-04 00,298.200,285.020,291.084
2009-11-05 00,295.100,282.920,289.206
2009-11-06 00,290.880,286.500,288.825
2009-11-07 00,293.730,282.200,287.501
2009-11-08 00,292.730,276.570,284.988
2009-11-09 00,293.120,278.390,285.632
2009-11-10 00,294.000,280.650,287.118
2009-11-11 00,294.030,284.450,289.131
2009-11-12 00,292.010,279.890,285.831
2009-11-13 00,289.220,274.820,282.496
2009-11-14 00,290.520,275.600,282.640
2009-11-15 00,289.950,274.670,282.053
2009-11-16 00,291.400,277.240,284.187
2009-11-17 00,291.960,277.650,284.045
2009-11-18 00,288.380,277.910,282.254
2009-11-19 00,288.370,274.830,281.075
2009-11-20 00,284.360,274.730,279.613
2009-11-21 00,287.240,275.600,281.471
2009-11-22 00,286.160,278.770,281.870
2009-11-23 00,289.200,275.740,281.664
2009-11-24 00,289.790,276.950,283.023
2009-11-25 00,291.260,277.970,284.575
2009-11-26 00,290.830,278.690,284.579
2009-11-27 00,290.260,279.440,284.605
2009-11-28 00,289.340,276.990,282.260
2009-11-29 00,291.270,274.220,281.690
2009-11-30 00,289.180,276.100,281.967
2009-12-01 00,287.870,274.450,281.730
2009-12-02 00,287.490,275.390,281.241
2009-12-03 00,286.360,271.980,279.876
2009-12-04 00,286.190,274.020,280.394
2009-12-05 00,286.850,274.200,280.018
2009-12-06 00,284.140,269.220,277.028
2009-12-07 00,280.820,274.030,277.510
2009-12-08 00,280.060,270.040,274.579
2009-12-09 00,279.790,268.490,273.759
2009-12-10 00,280.780,269.400,275.359
2009-12-11 00,278.470,275.900,277.298
2009-12-12 00,283.920,278.580,281.297
2009-12-13 00,284.290,281.270,282.427
2009-12-14 00,286.200,280.390,282.728
2009-12-15 00,287.390,281.360,284.036
2009-12-16 00,286.540,283.010,284.432
2009-12-17 00,289.400,282.120,285.137
2009-12-18 00,290.060,280.100,285.030
2009-12-19 00,289.310,279.850,284.205
2009-12-20 00,286.040,280.000,283.089
2009-12-21 00,288.920,280.960,284.402
2009-12-22 00,284.750,276.300,280.393
2009-12-23 00,283.780,271.280,277.250
2009-12-24 00,284.300,272.090,277.952
2009-12-25 00,284.400,272.720,278.912
2009-12-26 00,285.490,274.280,279.793
2009-12-27 00,284.250,278.260,280.996
2009-12-28 00,285.450,276.470,280.676
2009-12-29 00,283.860,276.930,280.930
2009-12-30 00,285.890,280.270,282.408
2009-12-31 00,286.550,279.380,282.590
2010-01-01 00,285.420,281.670,283.676
2010-01-02 00,289.300,279.870,283.859
2010-01-03 00,288.700,277.770,282.741
2010-01-04 00,288.500,277.580,282.779
2010-01-05 00,288.530,277.150,282.438
2010-01-06 00,287.620,277.020,282.798
2010-01-07 00,289.150,278.700,283.789
2010-01-08 00,285.020,279.780,282.048
2010-01-09 00,288.500,277.180,282.750
2010-01-10 00,289.640,279.750,284.694
2010-01-11 00,291.070,281.380,285.360
2010-01-12 00,288.290,282.950,284.878
2010-01-13 00,289.040,282.490,285.977
2010-01-14 00,289.110,278.600,283.828
2010-01-15 00,289.310,279.530,283.811
2010-01-16 00,290.350,280.530,285.158
2010-01-17 00,286.000,281.710,283.771
2010-01-18 00,285.160,281.980,283.348
2010-01-19 00,284.390,280.900,282.173
2010-01-20 00,284.270,280.320,281.734
2010-01-21 00,284.930,279.100,281.495
2010-01-22 00,283.870,278.960,281.153
2010-01-23 00,283.220,277.760,280.053
2010-01-24 00,283.560,278.550,281.077
2010-01-25 00,283.230,280.110,281.799
2010-01-26 00,285.120,280.710,282.960
2010-01-27 00,287.580,277.140,282.219
2010-01-28 00,288.110,276.060,281.844
2010-01-29 00,288.700,279.080,283.609
2010-01-30 00,286.990,280.990,283.452
2010-01-31 00,287.730,276.890,282.382
2010-02-01 00,288.420,279.070,283.390
2010-02-02 00,288.460,277.870,283.291
2010-02-03 00,289.390,279.740,284.416
2010-02-04 00,289.210,280.740,284.836
2010-02-05 00,287.990,281.910,284.751
2010-02-06 00,287.620,281.640,283.870
2010-02-07 00,288.520,279.630,283.518
2010-02-08 00,287.550,278.780,282.707
2010-02-09 00,285.030,279.190,281.635
2010-02-10 00,286.670,275.490,281.029
2010-02-11 00,285.300,279.830,282.589
2010-02-12 00,290.580,282.470,285.635
2010-02-13 00,291.560,279.770,285.543
2010-02-14 00,291.060,279.050,284.388
2010-02-15 00,292.250,278.390,284.921
2010-02-16 00,293.540,281.220,286.620
2010-02-17 00,293.840,280.630,286.941
2010-02-18 00,294.390,282.180,287.643
2010-02-19 00,292.040,280.430,286.199
2010-02-20 00,290.940,279.680,285.253
2010-02-21 00,286.990,279.320,282.630
2010-02-22 00,288.430,275.200,281.875
2010-02-23 00,286.300,277.970,281.624
2010-02-24 00,285.040,280.540,282.136
2010-02-25 00,289.890,278.310,284.531
2010-02-26 00,288.710,283.090,285.700
2010-02-27 00,288.180,280.780,283.966
2010-02-28 00,291.980,276.970,284.401
2010-03-01 00,292.060,279.760,285.723
2010-03-02 00,288.850,282.860,285.481
2010-03-03 00,283.790,279.790,282.116
2010-03-04 00,286.700,276.480,281.645
2010-03-05 00,287.590,279.210,282.664
2010-03-06 00,290.960,278.220,284.372
2010-03-07 00,292.990,278.750,285.325
2010-03-08 00,287.000,278.170,281.835
2010-03-09 00,286.360,274.630,280.403
2010-03-10 00,284.300,276.300,279.812
2010-03-11 00,287.410,274.510,280.965
2010-03-12 00,284.130,277.610,280.993
2010-03-13 00,286.420,274.830,280.139
2010-03-14 00,289.670,272.810,281.342
2010-03-15 00,292.950,276.200,284.845
2010-03-16 00,295.170,281.540,288.533
2010-03-17 00,297.230,283.840,289.760
2010-03-18 00,296.090,281.020,287.783
2010-03-19 00,297.210,277.660,287.555
2010-03-20 00,295.400,281.270,288.142
2010-03-21 00,294.020,280.020,286.915
2010-03-22 00,294.180,281.530,286.976
2010-03-23 00,294.990,279.160,286.807
2010-03-24 00,293.800,281.530,286.506
2010-03-25 00,288.160,281.590,284.412
2010-03-26 00,290.400,278.270,283.800
2010-03-27 00,293.740,276.220,284.887
2010-03-28 00,295.090,280.890,287.547
2010-03-29 00,291.270,283.760,286.917
2010-03-30 00,287.040,279.810,284.069
2010-03-31 00,286.810,278.610,281.972
2010-04-01 00,287.890,278.340,283.180
2010-04-02 00,283.840,280.610,282.194
2010-04-03 00,287.710,278.530,282.831
2010-04-04 00,288.650,279.910,284.025
2010-04-05 00,286.940,279.910,283.070
2010-04-06 00,290.170,277.350,283.046
2010-04-07 00,294.930,278.060,286.180
2010-04-08 00,295.590,280.650,287.550
2010-04-09 00,293.810,279.880,286.562
2010-04-10 00,292.310,281.900,286.834
2010-04-11 00,289.840,281.890,285.512
2010-04-12 00,287.260,281.680,283.633
2010-04-13 00,290.700,280.840,285.417
2010-04-14 00,289.270,281.160,284.812
2010-04-15 00,293.410,278.710,286.274
2010-04-16 00,294.150,283.890,288.519
2010-04-17 00,295.280,282.250,288.885
2010-04-18 00,297.720,283.000,289.934
2010-04-19 00,293.100,283.320,288.217
2010-04-20 00,287.610,280.660,284.515
2010-04-21 00,287.880,278.810,282.871
2010-04-22 00,292.160,280.520,285.733
2010-04-23 00,295.580,282.240,288.615
2010-04-24 00,297.510,283.350,290.519
2010-04-25 00,300.130,283.190,291.903
2010-04-26 00,299.090,285.010,291.406
2010-04-27 00,289.890,281.220,284.747
2010-04-28 00,287.760,278.030,282.929
2010-04-29 00,290.990,277.760,284.118
2010-04-30 00,293.740,278.050,285.700
2010-05-01 00,296.570,280.810,288.456
2010-05-02 00,297.110,283.600,289.431
2010-05-03 00,300.870,281.290,291.192
2010-05-04 00,298.500,285.830,291.407
2010-05-05 00,294.880,281.030,287.639
2010-05-06 00,293.880,278.790,285.646
2010-05-07 00,297.640,279.380,288.668
2010-05-08 00,296.730,281.060,288.793
2010-05-09 00,291.270,282.570,286.625
2010-05-10 00,288.940,281.080,285.101
2010-05-11 00,294.610,279.440,286.981
2010-05-12 00,298.000,281.110,290.212
2010-05-13 00,300.630,283.850,292.405
2010-05-14 00,300.740,285.780,293.260
2010-05-15 00,301.140,286.480,293.779
2010-05-16 00,299.440,285.950,292.251
2010-05-17 00,292.890,284.680,288.856
2010-05-18 00,295.270,284.930,290.593
2010-05-19 00,291.830,286.200,289.631
2010-05-20 00,297.210,285.500,290.763
2010-05-21 00,293.690,280.220,287.133
2010-05-22 00,291.090,277.520,284.993
2010-05-23 00,294.530,277.920,286.565
2010-05-24 00,288.950,279.150,285.291
2010-05-25 00,292.100,282.760,287.661
2010-05-26 00,294.250,283.850,288.562
2010-05-27 00,291.580,282.840,287.450
2010-05-28 00,294.450,281.460,288.206
2010-05-29 00,300.870,282.250,291.988
2010-05-30 00,303.480,284.270,294.657
2010-05-31 00,300.600,287.770,293.981
2010-06-01 00,298.840,286.630,293.076
2010-06-02 00,301.240,288.100,294.633
2010-06-03 00,299.710,289.560,294.729
2010-06-04 00,301.950,290.550,296.253
2010-06-05 00,304.270,291.760,298.098
2010-06-06 00,303.710,290.200,297.040
2010-06-07 00,302.600,287.950,295.387
2010-06-08 00,302.620,287.580,294.965
2010-06-09 00,298.070,285.620,291.601
2010-06-10 00,298.700,282.260,291.121
2010-06-11 00,301.430,282.930,292.596
2010-06-12 00,304.310,284.750,295.316
2010-06-13 00,307.080,286.580,298.299
2010-06-14 00,306.910,289.390,298.551
2010-06-15 00,303.680,287.010,295.142
2010-06-16 00,300.990,283.960,293.105
2010-06-17 00,303.110,283.380,294.550
2010-06-18 00,301.940,284.690,293.647
2010-06-19 00,299.840,282.720,291.310
2010-06-20 00,302.010,283.690,292.854
2010-06-21 00,304.220,284.930,295.943
2010-06-22 00,306.330,288.130,298.357
2010-06-23 00,307.210,291.320,299.411
2010-06-24 00,304.100,288.590,296.408
2010-06-25 00,304.050,287.480,295.485
2010-06-26 00,309.830,289.670,299.868
2010-06-27 00,313.440,291.130,302.946
2010-06-28 00,313.910,293.710,304.397
2010-06-29 00,311.810,291.410,301.753
2010-06-30 00,308.870,290.770,299.508
2010-07-01 00,307.080,285.730,296.950
2010-07-02 00,307.160,287.910,297.834
2010-07-03 00,307.630,289.940,298.814
2010-07-04 00,310.020,288.960,300.265
2010-07-05 00,310.860,288.950,300.701
2010-07-06 00,310.040,289.710,300.234
2010-07-07 00,309.950,288.850,300.075
2010-07-08 00,310.730,289.370,300.669
2010-07-09 00,311.480,290.220,301.118
2010-07-10 00,312.610,290.980,302.269
2010-07-11 00,313.140,292.360,303.033
2010-07-12 00,312.850,292.430,302.935
2010-07-13 00,310.410,291.460,301.011
2010-07-14 00,312.810,292.570,303.065
2010-07-15 00,315.480,295.260,306.107
2010-07-16 00,316.680,296.430,307.166
2010-07-17 00,314.830,294.880,304.763
2010-07-18 00,315.150,293.750,304.380
2010-07-19 00,313.660,291.930,302.864
2010-07-20 00,310.980,289.400,300.593
2010-07-21 00,309.840,288.750,299.270
2010-07-22 00,310.270,287.550,299.094
2010-07-23 00,311.910,288.730,300.648
2010-07-24 00,312.630,289.900,301.840
2010-07-25 00,312.010,291.830,301.330
2010-07-26 00,309.440,289.750,299.493
2010-07-27 00,308.460,288.670,298.679
2010-07-28 00,307.520,287.590,297.502
2010-07-29 00,309.820,287.810,298.825
2010-07-30 00,309.970,288.180,299.101
2010-07-31 00,309.380,287.910,298.535
2010-08-01 00,310.300,287.850,298.956
2010-08-02 00,310.750,286.970,298.982
2010-08-03 00,311.450,289.780,300.318
2010-08-04 00,310.650,289.370,299.883
2010-08-05 00,309.470,288.860,298.724
2010-08-06 00,310.250,288.130,298.942
2010-08-07 00,309.650,288.100,298.729
2010-08-08 00,308.190,288.400,298.129
2010-08-09 00,307.130,287.950,297.429
2010-08-10 00,308.070,287.550,297.479
2010-08-11 00,305.580,285.990,295.985
2010-08-12 00,307.670,288.850,298.159
2010-08-13 00,308.680,288.380,298.425
2010-08-14 00,307.920,287.850,297.510
2010-08-15 00,308.850,287.370,297.625
2010-08-16 00,310.510,288.050,298.821
2010-08-17 00,310.420,287.610,298.368
2010-08-18 00,309.650,287.330,297.839
2010-08-19 00,311.160,287.300,299.041
2010-08-20 00,309.500,289.140,298.717
2010-08-21 00,305.300,287.510,295.709
2010-08-22 00,307.210,285.130,295.693
2010-08-23 00,312.360,290.910,301.521
2010-08-24 00,317.550,291.660,304.927
2010-08-25 00,319.180,295.770,307.079
2010-08-26 00,310.750,293.480,300.906
2010-08-27 00,308.390,289.610,297.894
2010-08-28 00,294.720,286.370,290.412
2010-08-29 00,301.020,283.810,292.094
2010-08-30 00,303.520,284.790,294.170
2010-08-31 00,306.420,287.110,296.775
2010-09-01 00,312.030,288.130,301.020
2010-09-02 00,315.610,294.670,304.442
2010-09-03 00,313.670,293.020,302.377
2010-09-04 00,311.070,290.240,300.032
2010-09-05 00,310.160,291.210,299.606
2010-09-06 00,309.710,290.960,300.066
2010-09-07 00,306.870,289.550,297.681
2010-09-08 00,296.350,285.630,291.148
2010-09-09 00,301.870,285.060,292.906
2010-09-10 00,304.570,285.300,295.259
2010-09-11 00,307.630,288.600,297.797
2010-09-12 00,308.460,289.320,297.873
2010-09-13 00,305.620,286.670,295.285
2010-09-14 00,306.500,286.310,295.795
2010-09-15 00,306.530,286.080,295.771
2010-09-16 00,307.410,288.010,297.009
2010-09-17 00,306.700,288.960,297.259
2010-09-18 00,303.970,288.700,295.490
2010-09-19 00,300.680,287.180,293.715
2010-09-20 00,302.700,286.390,294.568
2010-09-21 00,302.950,287.170,294.310
2010-09-22 00,301.620,286.320,292.936
2010-09-23 00,304.800,286.140,294.993
2010-09-24 00,308.980,288.790,298.493
2010-09-25 00,311.050,290.080,300.134
2010-09-26 00,312.510,290.140,300.329
2010-09-27 00,313.380,289.620,300.883
2010-09-28 00,314.820,290.980,302.848
2010-09-29 00,314.870,292.330,303.249
2010-09-30 00,313.190,291.820,301.069
2010-10-01 00,309.160,288.900,297.473
2010-10-02 00,307.020,289.200,297.410
2010-10-03 00,300.230,289.990,294.447
2010-10-04 00,298.910,285.410,292.007
2010-10-05 00,300.520,287.240,292.876
2010-10-06 00,300.480,285.980,292.521
2010-10-07 00,298.750,285.950,291.892
2010-10-08 00,300.850,285.470,292.972
2010-10-09 00,304.500,286.050,294.489
2010-10-10 00,306.830,288.810,297.293
2010-10-11 00,307.670,289.770,298.387
2010-10-12 00,307.960,289.850,297.818
2010-10-13 00,308.740,286.910,297.552
2010-10-14 00,309.510,289.440,299.374
2010-10-15 00,307.900,290.380,298.379
2010-10-16 00,302.500,286.220,293.563
2010-10-17 00,291.330,287.140,289.134
2010-10-18 00,298.270,284.330,290.423
2010-10-19 00,301.800,283.820,292.187
2010-10-20 00,301.060,284.140,291.961
2010-10-21 00,296.360,283.800,289.442
2010-10-22 00,294.190,284.190,288.939
2010-10-23 00,288.240,286.110,287.395
2010-10-24 00,291.640,286.490,288.406
2010-10-25 00,292.140,284.110,287.526
