,sub_42,bif_sum,date,year,month,day
0,0.0,0.0,2009-01-02,2009,1,2
1,0.0,0.0,2009-01-03,2009,1,3
2,0.0,0.0,2009-01-04,2009,1,4
3,0.0,0.0,2009-01-05,2009,1,5
4,0.0,0.0,2009-01-06,2009,1,6
5,0.0,0.0,2009-01-07,2009,1,7
6,0.0,0.0,2009-01-08,2009,1,8
7,0.0,0.0,2009-01-09,2009,1,9
8,0.0,0.0,2009-01-10,2009,1,10
9,0.0,0.0,2009-01-11,2009,1,11
10,0.0,0.0,2009-01-12,2009,1,12
11,0.0,0.0,2009-01-13,2009,1,13
12,0.0,0.0,2009-01-14,2009,1,14
13,0.0,0.0,2009-01-15,2009,1,15
14,0.0,0.0,2009-01-16,2009,1,16
15,0.0,0.0,2009-01-17,2009,1,17
16,0.0,0.0,2009-01-18,2009,1,18
17,0.0,0.0,2009-01-19,2009,1,19
18,0.0,0.0,2009-01-20,2009,1,20
19,0.0,0.0,2009-01-21,2009,1,21
20,10.397121715833979,10.397121715833979,2009-01-22,2009,1,22
21,0.0,0.0,2009-01-23,2009,1,23
22,0.01942431785652366,0.01942431785652366,2009-01-24,2009,1,24
23,0.0,0.0,2009-01-25,2009,1,25
24,0.0,0.0,2009-01-26,2009,1,26
25,0.0,0.0,2009-01-27,2009,1,27
26,0.0,0.0,2009-01-28,2009,1,28
27,0.0,0.0,2009-01-29,2009,1,29
28,0.0,0.0,2009-01-30,2009,1,30
29,0.0,0.0,2009-01-31,2009,1,31
30,0.0,0.0,2009-02-01,2009,2,1
31,0.0,0.0,2009-02-02,2009,2,2
32,0.0,0.0,2009-02-03,2009,2,3
33,0.0,0.0,2009-02-04,2009,2,4
34,0.0,0.0,2009-02-05,2009,2,5
35,0.0,0.0,2009-02-06,2009,2,6
36,0.0,0.0,2009-02-07,2009,2,7
37,0.0,0.0,2009-02-08,2009,2,8
38,10.97858508997169,10.97858508997169,2009-02-09,2009,2,9
39,0.0,0.0,2009-02-10,2009,2,10
40,2.1841483688162255,2.1841483688162255,2009-02-11,2009,2,11
41,0.040149786191474746,0.040149786191474746,2009-02-12,2009,2,12
42,0.0,0.0,2009-02-13,2009,2,13
43,0.0005729435720134195,0.0005729435720134195,2009-02-14,2009,2,14
44,0.0,0.0,2009-02-15,2009,2,15
45,0.06334525362791116,0.06334525362791116,2009-02-16,2009,2,16
46,0.0002820981709531722,0.0002820981709531722,2009-02-17,2009,2,17
47,0.0,0.0,2009-02-18,2009,2,18
48,0.0,0.0,2009-02-19,2009,2,19
49,0.0,0.0,2009-02-20,2009,2,20
50,0.0,0.0,2009-02-21,2009,2,21
51,0.0,0.0,2009-02-22,2009,2,22
52,0.0020031156945201994,0.0020031156945201994,2009-02-23,2009,2,23
53,0.0,0.0,2009-02-24,2009,2,24
54,0.0,0.0,2009-02-25,2009,2,25
55,0.0,0.0,2009-02-26,2009,2,26
56,0.0,0.0,2009-02-27,2009,2,27
57,0.0,0.0,2009-02-28,2009,2,28
58,0.0,0.0,2009-03-01,2009,3,1
59,0.0,0.0,2009-03-02,2009,3,2
60,0.0004176802376128363,0.0004176802376128363,2009-03-03,2009,3,3
61,0.0,0.0,2009-03-04,2009,3,4
62,0.0,0.0,2009-03-05,2009,3,5
63,0.0,0.0,2009-03-06,2009,3,6
64,0.0,0.0,2009-03-07,2009,3,7
65,0.0,0.0,2009-03-08,2009,3,8
66,0.0,0.0,2009-03-09,2009,3,9
67,0.0,0.0,2009-03-10,2009,3,10
68,0.0,0.0,2009-03-11,2009,3,11
69,0.0,0.0,2009-03-12,2009,3,12
70,0.0,0.0,2009-03-13,2009,3,13
71,0.0,0.0,2009-03-14,2009,3,14
72,0.0,0.0,2009-03-15,2009,3,15
73,0.0,0.0,2009-03-16,2009,3,16
74,0.0,0.0,2009-03-17,2009,3,17
75,0.0,0.0,2009-03-18,2009,3,18
76,0.0,0.0,2009-03-19,2009,3,19
77,0.0,0.0,2009-03-20,2009,3,20
78,0.0,0.0,2009-03-21,2009,3,21
79,0.0,0.0,2009-03-22,2009,3,22
80,0.0,0.0,2009-03-23,2009,3,23
81,0.0,0.0,2009-03-24,2009,3,24
82,0.0,0.0,2009-03-25,2009,3,25
83,0.0,0.0,2009-03-26,2009,3,26
84,0.0,0.0,2009-03-27,2009,3,27
85,0.0,0.0,2009-03-28,2009,3,28
86,0.0,0.0,2009-03-29,2009,3,29
87,0.0,0.0,2009-03-30,2009,3,30
88,0.0,0.0,2009-03-31,2009,3,31
89,0.0,0.0,2009-04-01,2009,4,1
90,0.0,0.0,2009-04-02,2009,4,2
91,0.0,0.0,2009-04-03,2009,4,3
92,0.0,0.0,2009-04-04,2009,4,4
93,0.0,0.0,2009-04-05,2009,4,5
94,0.0,0.0,2009-04-06,2009,4,6
95,0.0,0.0,2009-04-07,2009,4,7
96,4.396438763694439,4.396438763694439,2009-04-08,2009,4,8
97,0.0,0.0,2009-04-09,2009,4,9
98,0.19943356623002226,0.19943356623002226,2009-04-10,2009,4,10
99,0.0,0.0,2009-04-11,2009,4,11
100,0.0,0.0,2009-04-12,2009,4,12
101,0.0,0.0,2009-04-13,2009,4,13
102,0.0,0.0,2009-04-14,2009,4,14
103,0.0,0.0,2009-04-15,2009,4,15
104,0.0,0.0,2009-04-16,2009,4,16
105,0.0,0.0,2009-04-17,2009,4,17
106,0.0,0.0,2009-04-18,2009,4,18
107,0.0,0.0,2009-04-19,2009,4,19
108,0.0,0.0,2009-04-20,2009,4,20
109,0.0,0.0,2009-04-21,2009,4,21
110,0.0,0.0,2009-04-22,2009,4,22
111,0.0,0.0,2009-04-23,2009,4,23
112,0.0,0.0,2009-04-24,2009,4,24
113,0.0,0.0,2009-04-25,2009,4,25
114,0.0,0.0,2009-04-26,2009,4,26
115,0.0,0.0,2009-04-27,2009,4,27
116,0.0,0.0,2009-04-28,2009,4,28
117,0.0,0.0,2009-04-29,2009,4,29
118,0.0,0.0,2009-04-30,2009,4,30
119,0.0,0.0,2009-05-01,2009,5,1
120,0.044969509980473124,0.044969509980473124,2009-05-02,2009,5,2
121,0.0,0.0,2009-05-03,2009,5,3
122,0.0,0.0,2009-05-04,2009,5,4
123,4.916682461120258,4.916682461120258,2009-05-05,2009,5,5
124,0.0,0.0,2009-05-06,2009,5,6
125,0.0,0.0,2009-05-07,2009,5,7
126,0.0,0.0,2009-05-08,2009,5,8
127,0.0,0.0,2009-05-09,2009,5,9
128,0.0,0.0,2009-05-10,2009,5,10
129,0.0,0.0,2009-05-11,2009,5,11
130,0.0,0.0,2009-05-12,2009,5,12
131,0.0,0.0,2009-05-13,2009,5,13
132,0.0,0.0,2009-05-14,2009,5,14
133,0.0,0.0,2009-05-15,2009,5,15
134,0.0,0.0,2009-05-16,2009,5,16
135,0.0,0.0,2009-05-17,2009,5,17
136,0.0,0.0,2009-05-18,2009,5,18
137,0.0,0.0,2009-05-19,2009,5,19
138,0.0,0.0,2009-05-20,2009,5,20
139,0.0,0.0,2009-05-21,2009,5,21
140,0.0,0.0,2009-05-22,2009,5,22
141,0.0,0.0,2009-05-23,2009,5,23
142,0.0,0.0,2009-05-24,2009,5,24
143,0.0,0.0,2009-05-25,2009,5,25
144,0.0,0.0,2009-05-26,2009,5,26
145,0.0,0.0,2009-05-27,2009,5,27
146,0.0,0.0,2009-05-28,2009,5,28
147,0.0,0.0,2009-05-29,2009,5,29
148,0.0,0.0,2009-05-30,2009,5,30
149,0.0,0.0,2009-05-31,2009,5,31
150,0.0,0.0,2009-06-01,2009,6,1
151,0.0,0.0,2009-06-02,2009,6,2
152,0.0,0.0,2009-06-03,2009,6,3
153,49.84801624919482,49.84801624919482,2009-06-04,2009,6,4
154,0.0,0.0,2009-06-05,2009,6,5
155,0.0,0.0,2009-06-06,2009,6,6
156,0.0,0.0,2009-06-07,2009,6,7
157,0.0,0.0,2009-06-08,2009,6,8
158,0.0,0.0,2009-06-09,2009,6,9
159,0.0,0.0,2009-06-10,2009,6,10
160,0.0,0.0,2009-06-11,2009,6,11
161,0.0,0.0,2009-06-12,2009,6,12
162,0.0,0.0,2009-06-13,2009,6,13
163,0.0,0.0,2009-06-14,2009,6,14
164,0.0,0.0,2009-06-15,2009,6,15
165,0.0,0.0,2009-06-16,2009,6,16
166,0.0,0.0,2009-06-17,2009,6,17
167,0.0,0.0,2009-06-18,2009,6,18
168,0.0,0.0,2009-06-19,2009,6,19
169,0.0,0.0,2009-06-20,2009,6,20
170,0.0,0.0,2009-06-21,2009,6,21
171,0.0,0.0,2009-06-22,2009,6,22
172,0.0,0.0,2009-06-23,2009,6,23
173,0.0,0.0,2009-06-24,2009,6,24
174,0.0,0.0,2009-06-25,2009,6,25
175,0.0,0.0,2009-06-26,2009,6,26
176,0.0,0.0,2009-06-27,2009,6,27
177,0.0,0.0,2009-06-28,2009,6,28
178,0.0,0.0,2009-06-29,2009,6,29
179,0.0,0.0,2009-06-30,2009,6,30
180,0.0,0.0,2009-07-01,2009,7,1
181,0.0,0.0,2009-07-02,2009,7,2
182,0.0,0.0,2009-07-03,2009,7,3
183,0.0,0.0,2009-07-04,2009,7,4
184,0.0,0.0,2009-07-05,2009,7,5
185,0.0,0.0,2009-07-06,2009,7,6
186,0.0,0.0,2009-07-07,2009,7,7
187,0.0,0.0,2009-07-08,2009,7,8
188,0.0,0.0,2009-07-09,2009,7,9
189,0.0,0.0,2009-07-10,2009,7,10
190,0.0,0.0,2009-07-11,2009,7,11
191,0.0,0.0,2009-07-12,2009,7,12
192,0.0,0.0,2009-07-13,2009,7,13
193,0.0,0.0,2009-07-14,2009,7,14
194,0.0,0.0,2009-07-15,2009,7,15
195,0.0,0.0,2009-07-16,2009,7,16
196,0.0,0.0,2009-07-17,2009,7,17
197,0.0,0.0,2009-07-18,2009,7,18
198,0.0,0.0,2009-07-19,2009,7,19
199,0.0,0.0,2009-07-20,2009,7,20
200,0.0,0.0,2009-07-21,2009,7,21
201,0.0,0.0,2009-07-22,2009,7,22
202,0.0,0.0,2009-07-23,2009,7,23
203,0.0,0.0,2009-07-24,2009,7,24
204,0.0,0.0,2009-07-25,2009,7,25
205,0.0,0.0,2009-07-26,2009,7,26
206,0.0,0.0,2009-07-27,2009,7,27
207,0.0,0.0,2009-07-28,2009,7,28
208,0.0,0.0,2009-07-29,2009,7,29
209,0.0,0.0,2009-07-30,2009,7,30
210,0.0,0.0,2009-07-31,2009,7,31
211,0.0,0.0,2009-08-01,2009,8,1
212,0.0,0.0,2009-08-02,2009,8,2
213,0.0,0.0,2009-08-03,2009,8,3
214,0.0,0.0,2009-08-04,2009,8,4
215,0.0,0.0,2009-08-05,2009,8,5
216,0.0,0.0,2009-08-06,2009,8,6
217,0.0,0.0,2009-08-07,2009,8,7
218,0.0,0.0,2009-08-08,2009,8,8
219,0.0,0.0,2009-08-09,2009,8,9
220,0.0,0.0,2009-08-10,2009,8,10
221,0.0,0.0,2009-08-11,2009,8,11
222,0.0,0.0,2009-08-12,2009,8,12
223,0.0,0.0,2009-08-13,2009,8,13
224,0.0,0.0,2009-08-14,2009,8,14
225,0.0,0.0,2009-08-15,2009,8,15
226,0.0,0.0,2009-08-16,2009,8,16
227,0.0,0.0,2009-08-17,2009,8,17
228,0.0,0.0,2009-08-18,2009,8,18
229,0.0,0.0,2009-08-19,2009,8,19
