"month","year","bif_kg","bif_kg_with_home"
1,2009,56.0483896797712,70.060487099714
2,2009,67.0112906976168,83.764113372021
3,2009,88.3724209513016,110.465526189127
4,2009,118.591787656151,148.239734570189
5,2009,91.8506474146376,114.813309268297
6,2009,102.042824660015,127.553530825019
7,2009,127.573233896482,159.466542370602
8,2009,109.856378792997,137.320473491246
9,2009,123.589459776231,154.486824720289
10,2009,72.6614384896664,90.826798112083
11,2009,77.269787742712,96.58723467839
12,2009,36.6031644579502,45.7539555724377
1,2010,48.2189035133424,60.273629391678
2,2010,45.3759416724872,56.719927090609
3,2010,63.5206069650296,79.400758706287
4,2010,61.9554076918979,77.4442596148724
5,2010,107.378936853229,134.223671066536
6,2010,87.7193825077376,109.649228134672
7,2010,63.24436828037,79.0554603504625
8,2010,50.5341504748065,63.1676880935081
9,2010,107.283537869132,134.104422336415
10,2010,69.523729006514,86.9046612581425
11,2010,40.4110262883568,50.513782860446
12,2010,155.333681676017,194.167102095021
1,2011,171.551238713247,214.439048391559
2,2011,165.072089820934,206.340112276168
3,2011,161.583426863386,201.979283579232
4,2011,177.045023908183,221.306279885229
5,2011,165.841923419102,207.302404273877
6,2011,209.655836363035,262.069795453794
7,2011,55.7373727447674,69.6717159309593
8,2011,185.063050043685,231.328812554606
9,2011,500.465886397115,625.582357996394
10,2011,169.365939967622,211.707424959528
11,2011,163.223186813835,204.028983517294
12,2011,142.581474659433,178.226843324291
1,2012,184.031255957048,230.03906994631
2,2012,137.70353895685,172.129423696063
3,2012,78.5704351336,98.213043917
4,2012,75.6190627182216,94.523828397777
5,2012,148.66558711741,185.831983896763
6,2012,128.760941406218,160.951176757772
7,2012,76.0671598004074,95.0839497505092
8,2012,429.093289369054,536.366611711318
9,2012,77.7620456575134,97.2025570718917
10,2012,55.5698725000005,69.4623406250006
11,2012,73.017000263737,91.2712503296713
12,2012,54.2169148203648,67.771143525456
1,2013,42.0495735379146,52.5619669223932
2,2013,58.800680316874,73.5008503960925
3,2013,69.5145508672288,86.893188584036
4,2013,128.600091840753,160.750114800941
5,2013,95.2228544862531,119.028568107816
6,2013,85.3122887227755,106.640360903469
7,2013,195.522011823704,244.40251477963
8,2013,91.5690614790394,114.461326848799
9,2013,55.7153014751423,69.6441268439279
10,2013,47.2600135497522,59.0750169371903
11,2013,55.8251319876701,69.7814149845876
12,2013,46.7306483756594,58.4133104695742
1,2014,42.3653926967815,52.9567408709769
2,2014,40.2341804290664,50.292725536333
3,2014,20.8993435562866,26.1241794453582
4,2014,92.0932048748128,115.116506093516
5,2014,54.4916370789296,68.114546348662
6,2014,45.5951771103128,56.993971387891
7,2014,49.0433887877314,61.3042359846643
8,2014,190.779838070985,238.474797588731
9,2014,93.9606757656854,117.450844707107
10,2014,172.748524090218,215.935655112773
11,2014,62.3396715747816,77.924589468477
12,2014,37.3880617285047,46.7350771606309
1,2015,1264.50499113931,1580.63123892414
2,2015,1446.55426351676,1808.19282939595
3,2015,1294.02085973546,1617.52607466932
4,2015,1591.91197156722,1989.88996445903
5,2015,89.3855045856622,111.731880732078
6,2015,57.3947447971442,71.7434309964302
7,2015,115.709859654342,144.637324567927
8,2015,72.4026873333345,90.5033591666681
9,2015,396.831012594459,496.038765743074
10,2015,74.0023630856815,92.5029538571019
11,2015,54.9069723630791,68.6337154538489
12,2015,45.4117606307084,56.7647007883855
1,2016,41.7489685804748,52.1862107255935
2,2016,70.3521976260568,87.940247032571
3,2016,55.0794238956482,68.8492798695602
4,2016,129.395021024134,161.743776280167
5,2016,134.588222095111,168.235277618889
6,2016,74.5740725970435,93.2175907463044
7,2016,48.5464543121945,60.6830678902431
8,2016,62.051334856663,77.5641685708287
9,2016,38.1518588472265,47.6898235590331
10,2016,49.3639873366403,61.7049841708004
11,2016,61.4301236800736,76.787654600092
12,2016,64.4996665001771,80.6245831252214
1,2017,31.3577170546978,39.1971463183722
2,2017,37.2425376940874,46.5531721176093
3,2017,71.1339396199409,88.9174245249261
4,2017,70.9873435707267,88.7341794634084
5,2017,128.594301580116,160.742876975145
6,2017,97.9537016250588,122.442127031323
7,2017,96.0420932751664,120.052616593958
8,2017,89.8547699083759,112.31846238547
9,2017,93.1440975297199,116.43012191215
10,2017,52.9817840130171,66.2272300162714
11,2017,34.6496550344989,43.3120687931236
12,2017,68.2029844691033,85.2537305863791
