Parameter,Min,Max
KWidth ,0.5,2
KSlope ,0.5,2
KImperv,0.5,2
NImperv,0.001,0.03
NPerv,0.05,0.5
SImperv,1.27,2.54
SPerv,2.54,5.08
PctZero,NA,NA
MaxRate,8.46,127
MinRate,0.254,10.92
Decay,2,7
DryTime,2,14
Roughness,NA,NA
