datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2009-04-10,0.1534979938014752,0.1534979938014752,2009-04-10,2009,4,10
2009-04-11,0.0,0.0,2009-04-11,2009,4,11
2009-04-12,0.0,0.0,2009-04-12,2009,4,12
2009-04-13,0.0,0.0,2009-04-13,2009,4,13
2009-04-14,0.0,0.0,2009-04-14,2009,4,14
2009-04-15,0.0,0.0,2009-04-15,2009,4,15
2009-04-16,0.0,0.0,2009-04-16,2009,4,16
2009-04-17,0.0,0.0,2009-04-17,2009,4,17
2009-04-18,0.0,0.0,2009-04-18,2009,4,18
2009-04-19,0.0,0.0,2009-04-19,2009,4,19
2009-04-20,0.0,0.0,2009-04-20,2009,4,20
2009-04-21,0.0,0.0,2009-04-21,2009,4,21
2009-04-22,0.0,0.0,2009-04-22,2009,4,22
2009-04-23,0.0,0.0,2009-04-23,2009,4,23
2009-04-24,0.0,0.0,2009-04-24,2009,4,24
2009-04-25,0.0,0.0,2009-04-25,2009,4,25
2009-04-26,0.0,0.0,2009-04-26,2009,4,26
2009-04-27,0.0,0.0,2009-04-27,2009,4,27
2009-04-28,0.0,0.0,2009-04-28,2009,4,28
2009-04-29,0.0,0.0,2009-04-29,2009,4,29
2009-04-30,0.0,0.0,2009-04-30,2009,4,30
2009-05-01,0.6747031462031446,0.6747031462031446,2009-05-01,2009,5,1
2009-05-02,0.1168455748403062,0.1168455748403062,2009-05-02,2009,5,2
2009-05-03,0.19652481388437473,0.19652481388437473,2009-05-03,2009,5,3
2009-05-04,0.013190083335826944,0.013190083335826944,2009-05-04,2009,5,4
2009-05-05,0.2522224613329828,0.2522224613329828,2009-05-05,2009,5,5
2009-05-06,0.0,0.0,2009-05-06,2009,5,6
2009-05-07,0.0,0.0,2009-05-07,2009,5,7
2009-05-08,0.0,0.0,2009-05-08,2009,5,8
2009-05-09,0.0,0.0,2009-05-09,2009,5,9
2009-05-10,0.0,0.0,2009-05-10,2009,5,10
2009-05-11,0.0,0.0,2009-05-11,2009,5,11
2009-05-12,0.0,0.0,2009-05-12,2009,5,12
2009-05-13,0.0,0.0,2009-05-13,2009,5,13
2009-05-14,0.0,0.0,2009-05-14,2009,5,14
2009-05-15,0.0,0.0,2009-05-15,2009,5,15
2009-05-16,0.0,0.0,2009-05-16,2009,5,16
2009-05-17,0.0,0.0,2009-05-17,2009,5,17
2009-05-18,0.0,0.0,2009-05-18,2009,5,18
2009-05-19,0.0,0.0,2009-05-19,2009,5,19
2009-05-20,0.0,0.0,2009-05-20,2009,5,20
2009-05-21,0.0,0.0,2009-05-21,2009,5,21
2009-05-22,0.0,0.0,2009-05-22,2009,5,22
2009-05-23,0.0,0.0,2009-05-23,2009,5,23
2009-05-24,0.0,0.0,2009-05-24,2009,5,24
2009-05-25,0.0,0.0,2009-05-25,2009,5,25
2009-05-26,0.0,0.0,2009-05-26,2009,5,26
2009-05-27,0.0,0.0,2009-05-27,2009,5,27
2009-05-28,0.0,0.0,2009-05-28,2009,5,28
2009-05-29,0.0,0.0,2009-05-29,2009,5,29
2009-05-30,0.0,0.0,2009-05-30,2009,5,30
2009-05-31,0.0,0.0,2009-05-31,2009,5,31
2009-06-01,0.0,0.0,2009-06-01,2009,6,1
2009-06-02,0.0,0.0,2009-06-02,2009,6,2
2009-06-03,0.005201977810668503,0.005201977810668503,2009-06-03,2009,6,3
2009-06-04,0.08516386621340019,0.08516386621340019,2009-06-04,2009,6,4
2009-06-05,0.0,0.0,2009-06-05,2009,6,5
2009-06-06,0.0,0.0,2009-06-06,2009,6,6
2009-06-07,0.0,0.0,2009-06-07,2009,6,7
2009-06-08,0.0,0.0,2009-06-08,2009,6,8
2009-06-09,0.0,0.0,2009-06-09,2009,6,9
2009-06-10,0.0,0.0,2009-06-10,2009,6,10
2009-06-11,0.0,0.0,2009-06-11,2009,6,11
2009-06-12,0.0,0.0,2009-06-12,2009,6,12
2009-06-13,0.0,0.0,2009-06-13,2009,6,13
2009-06-14,0.0,0.0,2009-06-14,2009,6,14
2009-06-15,0.0,0.0,2009-06-15,2009,6,15
2009-06-16,0.0,0.0,2009-06-16,2009,6,16
2009-06-17,0.0,0.0,2009-06-17,2009,6,17
2009-06-18,0.0,0.0,2009-06-18,2009,6,18
2009-06-19,0.0,0.0,2009-06-19,2009,6,19
2009-06-20,0.0,0.0,2009-06-20,2009,6,20
2009-06-21,0.0,0.0,2009-06-21,2009,6,21
2009-06-22,0.0,0.0,2009-06-22,2009,6,22
2009-06-23,0.0,0.0,2009-06-23,2009,6,23
2009-06-24,0.0,0.0,2009-06-24,2009,6,24
2009-06-25,0.0,0.0,2009-06-25,2009,6,25
2009-06-26,0.0,0.0,2009-06-26,2009,6,26
2009-06-27,0.0,0.0,2009-06-27,2009,6,27
2009-06-28,0.0,0.0,2009-06-28,2009,6,28
2009-06-29,0.0,0.0,2009-06-29,2009,6,29
2009-06-30,0.0,0.0,2009-06-30,2009,6,30
2009-07-01,0.0,0.0,2009-07-01,2009,7,1
2009-07-02,0.0,0.0,2009-07-02,2009,7,2
2009-07-03,0.0,0.0,2009-07-03,2009,7,3
2009-07-04,0.0,0.0,2009-07-04,2009,7,4
2009-07-05,0.0,0.0,2009-07-05,2009,7,5
2009-07-06,0.0,0.0,2009-07-06,2009,7,6
2009-07-07,0.0,0.0,2009-07-07,2009,7,7
2009-07-08,0.0,0.0,2009-07-08,2009,7,8
2009-07-09,0.0,0.0,2009-07-09,2009,7,9
