,35,bif_sum,date,year,month,day
130,0.0,0.0,2009-05-13,2009,5,13
131,0.0,0.0,2009-05-14,2009,5,14
132,0.0,0.0,2009-05-15,2009,5,15
133,0.0,0.0,2009-05-16,2009,5,16
134,0.0,0.0,2009-05-17,2009,5,17
135,0.0,0.0,2009-05-18,2009,5,18
136,0.0,0.0,2009-05-19,2009,5,19
137,0.0,0.0,2009-05-20,2009,5,20
138,0.0,0.0,2009-05-21,2009,5,21
139,0.0,0.0,2009-05-22,2009,5,22
140,0.0,0.0,2009-05-23,2009,5,23
141,0.0,0.0,2009-05-24,2009,5,24
142,0.0,0.0,2009-05-25,2009,5,25
143,0.0,0.0,2009-05-26,2009,5,26
144,0.0,0.0,2009-05-27,2009,5,27
145,0.0,0.0,2009-05-28,2009,5,28
146,0.0,0.0,2009-05-29,2009,5,29
147,0.0,0.0,2009-05-30,2009,5,30
148,0.0,0.0,2009-05-31,2009,5,31
149,0.0,0.0,2009-06-01,2009,6,1
150,0.0,0.0,2009-06-02,2009,6,2
151,0.0,0.0,2009-06-03,2009,6,3
152,0.0,0.0,2009-06-04,2009,6,4
153,0.0,0.0,2009-06-05,2009,6,5
154,0.0,0.0,2009-06-06,2009,6,6
155,0.0,0.0,2009-06-07,2009,6,7
156,0.0,0.0,2009-06-08,2009,6,8
157,0.0,0.0,2009-06-09,2009,6,9
158,0.0,0.0,2009-06-10,2009,6,10
159,0.0,0.0,2009-06-11,2009,6,11
160,0.0,0.0,2009-06-12,2009,6,12
161,0.0,0.0,2009-06-13,2009,6,13
162,0.0,0.0,2009-06-14,2009,6,14
163,0.0,0.0,2009-06-15,2009,6,15
164,0.0,0.0,2009-06-16,2009,6,16
165,0.0,0.0,2009-06-17,2009,6,17
166,0.0,0.0,2009-06-18,2009,6,18
167,0.0,0.0,2009-06-19,2009,6,19
168,0.0,0.0,2009-06-20,2009,6,20
169,0.0,0.0,2009-06-21,2009,6,21
170,0.0,0.0,2009-06-22,2009,6,22
171,0.0,0.0,2009-06-23,2009,6,23
172,0.0,0.0,2009-06-24,2009,6,24
173,0.0,0.0,2009-06-25,2009,6,25
174,0.0,0.0,2009-06-26,2009,6,26
175,0.0,0.0,2009-06-27,2009,6,27
176,0.0,0.0,2009-06-28,2009,6,28
177,0.0,0.0,2009-06-29,2009,6,29
178,0.0,0.0,2009-06-30,2009,6,30
179,0.0,0.0,2009-07-01,2009,7,1
180,0.0,0.0,2009-07-02,2009,7,2
181,0.0,0.0,2009-07-03,2009,7,3
182,0.0,0.0,2009-07-04,2009,7,4
183,0.0,0.0,2009-07-05,2009,7,5
184,0.0,0.0,2009-07-06,2009,7,6
185,0.0,0.0,2009-07-07,2009,7,7
186,0.0,0.0,2009-07-08,2009,7,8
187,0.0,0.0,2009-07-09,2009,7,9
188,0.0,0.0,2009-07-10,2009,7,10
189,0.0,0.0,2009-07-11,2009,7,11
190,0.0,0.0,2009-07-12,2009,7,12
191,0.0,0.0,2009-07-13,2009,7,13
192,0.0,0.0,2009-07-14,2009,7,14
193,0.0,0.0,2009-07-15,2009,7,15
194,0.0,0.0,2009-07-16,2009,7,16
195,0.0,0.0,2009-07-17,2009,7,17
196,0.0,0.0,2009-07-18,2009,7,18
197,0.0,0.0,2009-07-19,2009,7,19
198,0.0,0.0,2009-07-20,2009,7,20
199,0.0,0.0,2009-07-21,2009,7,21
200,0.0,0.0,2009-07-22,2009,7,22
201,0.0,0.0,2009-07-23,2009,7,23
202,0.0,0.0,2009-07-24,2009,7,24
203,0.0,0.0,2009-07-25,2009,7,25
204,0.0,0.0,2009-07-26,2009,7,26
205,0.0,0.0,2009-07-27,2009,7,27
206,0.0,0.0,2009-07-28,2009,7,28
207,0.0,0.0,2009-07-29,2009,7,29
208,0.0,0.0,2009-07-30,2009,7,30
209,0.0,0.0,2009-07-31,2009,7,31
210,0.0,0.0,2009-08-01,2009,8,1
211,0.0,0.0,2009-08-02,2009,8,2
212,0.0,0.0,2009-08-03,2009,8,3
213,0.0,0.0,2009-08-04,2009,8,4
214,0.0,0.0,2009-08-05,2009,8,5
215,0.0,0.0,2009-08-06,2009,8,6
216,0.0,0.0,2009-08-07,2009,8,7
217,0.0,0.0,2009-08-08,2009,8,8
218,0.0,0.0,2009-08-09,2009,8,9
219,0.0,0.0,2009-08-10,2009,8,10
220,0.0,0.0,2009-08-11,2009,8,11
221,0.0,0.0,2009-08-12,2009,8,12
222,0.0,0.0,2009-08-13,2009,8,13
223,0.0,0.0,2009-08-14,2009,8,14
224,0.0,0.0,2009-08-15,2009,8,15
225,0.0,0.0,2009-08-16,2009,8,16
226,0.0,0.0,2009-08-17,2009,8,17
227,0.0,0.0,2009-08-18,2009,8,18
228,0.0,0.0,2009-08-19,2009,8,19
229,0.0,0.0,2009-08-20,2009,8,20
230,0.0,0.0,2009-08-21,2009,8,21
231,0.0,0.0,2009-08-22,2009,8,22
232,0.0,0.0,2009-08-23,2009,8,23
233,0.0,0.0,2009-08-24,2009,8,24
234,0.0,0.0,2009-08-25,2009,8,25
235,0.0,0.0,2009-08-26,2009,8,26
236,0.0,0.0,2009-08-27,2009,8,27
237,0.0,0.0,2009-08-28,2009,8,28
238,0.0,0.0,2009-08-29,2009,8,29
239,0.0,0.0,2009-08-30,2009,8,30
240,0.0,0.0,2009-08-31,2009,8,31
241,0.0,0.0,2009-09-01,2009,9,1
242,0.0,0.0,2009-09-02,2009,9,2
