ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2016	01-OCT-16	PLACER	31	STRUCTURAL PEST CONTROL	AMERICAN BRAND BIFENTHRIN GRANULES	522.5	BIFENTHRIN	1.045			
NO	2016	01-NOV-16	PLACER	31	STRUCTURAL PEST CONTROL	AMERICAN BRAND BIFENTHRIN GRANULES	62	BIFENTHRIN	.124			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	AMERICAN BRAND BIFENTHRIN GRANULES	220	BIFENTHRIN	.44			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	AMERICAN BRAND BIFENTHRIN GRANULES	658	BIFENTHRIN	1.316			
NO	2016	01-DEC-16	PLACER	31	STRUCTURAL PEST CONTROL	AMERICAN BRAND BIFENTHRIN GRANULES	558	BIFENTHRIN	1.116			
NO	2016	01-DEC-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.7432	BIFENTHRIN	.0587128			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.0041	BIFENTHRIN	.0003239			
NO	2016	01-MAR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.8913	BIFENTHRIN	.9394127			
NO	2016	01-APR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059			
NO	2016	01-JUN-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.0805	BIFENTHRIN	.8753595			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.2162	BIFENTHRIN	.0960798			
NO	2016	01-MAR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.3647	BIFENTHRIN	.1868113			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6722	BIFENTHRIN	.1321038			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	12.9723	BIFENTHRIN	1.0248117			
NO	2016	01-APR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.1824	BIFENTHRIN	.0934096			
NO	2016	01-APR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	15.4046	BIFENTHRIN	1.2169634			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.3513	BIFENTHRIN	.1067527			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1351	BIFENTHRIN	.0106729			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.9459	BIFENTHRIN	.0747261			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.635	BIFENTHRIN	.208165			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	15.6749	BIFENTHRIN	1.2383171			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.4865	BIFENTHRIN	.0384335			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.7905	BIFENTHRIN	.0624495			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.7018	BIFENTHRIN	1.3984422			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.5337	BIFENTHRIN	.1211623			
NO	2016	01-OCT-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1215	BIFENTHRIN	.1675985			
NO	2016	01-DEC-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2676	BIFENTHRIN	.0211404			
NO	2016	01-DEC-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.002	BIFENTHRIN	.000158			
NO	2016	01-DEC-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1212.392	BIFENTHRIN	95.778968			
NO	2016	01-NOV-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	856.6913	BIFENTHRIN	67.6786127			
NO	2016	01-JAN-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.1621	BIFENTHRIN	.1708059			
NO	2016	01-APR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.9459	BIFENTHRIN	.0747261			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	2.7026	BIFENTHRIN	.2135054			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.5128	BIFENTHRIN	1.0675112			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.3094	BIFENTHRIN	.0244426			
NO	2016	01-FEB-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.8371	BIFENTHRIN	1.0931309			
NO	2016	01-FEB-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6283	BIFENTHRIN	.1286357			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6283	BIFENTHRIN	.0496357			
NO	2016	01-JUL-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.6756	BIFENTHRIN	.0533724			
NO	2016	01-FEB-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	10.8103	BIFENTHRIN	.8540137			
NO	2016	01-MAR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.0135	BIFENTHRIN	.0800665			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6215	BIFENTHRIN	.1280985			
NO	2016	01-APR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	15.6411	BIFENTHRIN	1.2356469			
NO	2016	01-MAR-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	6.2159	BIFENTHRIN	.4910561			
NO	2016	01-JUN-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.7904	BIFENTHRIN	.1414416			
NO	2016	01-MAY-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.2964	BIFENTHRIN	1.3664156			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	590.0671	BIFENTHRIN	46.6153009			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.2702	BIFENTHRIN	.1003458			
NO	2016	01-JUN-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	25.9446	BIFENTHRIN	2.0496234			
NO	2016	01-JUN-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.9594	BIFENTHRIN	.1547926			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.6215	BIFENTHRIN	.1280985			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2027	BIFENTHRIN	.0160133			
NO	2016	01-OCT-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.1148	BIFENTHRIN	.0880692			
NO	2016	01-NOV-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.1074	BIFENTHRIN	1.0354846			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	1.5337	BIFENTHRIN	.1211623			
NO	2016	01-SEP-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.2964	BIFENTHRIN	1.3664156			
NO	2016	01-OCT-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.3777	BIFENTHRIN	1.0568383			
NO	2016	01-AUG-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.002	BIFENTHRIN	.000158			
NO	2016	01-OCT-16	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2317	BIFENTHRIN	.0183043			
